+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
--,1-3,2,0,3,4-16,4-4,39,A.  Harrington,3,4,13,6,1,3,"November 3, 2004",241103021,1,Hawks,PF
--,2-6,3,0,5,9-22,1-6,39,A.  Walker,8,2,21,13,0,3,"November 3, 2004",241103021,1,Hawks,PF
--,0-0,0,0,1,0-4,0-0,5,J.  Collier,1,0,0,2,1,0,"November 3, 2004",241103021,1,Hawks,C
--,0-1,2,0,1,1-5,1-4,24,B.  Diaw,1,3,3,2,0,0,"November 3, 2004",241103021,1,Hawks,C
--,1-1,2,0,4,3-10,0-0,30,K.  Anderson,1,3,7,5,2,4,"November 3, 2004",241103021,1,Hawks,PG
--,0-0,3,1,3,3-10,1-2,24,J.  Smith,4,2,7,7,0,3,"November 3, 2004",241103021,0,Hawks,PF
--,0-0,1,0,1,2-3,0-0,7,A.  Miller,0,1,4,1,1,1,"November 3, 2004",241103021,0,Hawks,PF
--,0-0,0,1,2,3-6,4-5,18,J.  Childress,2,1,10,4,1,1,"November 3, 2004",241103021,0,Hawks,SF
--,0-0,0,0,2,4-7,0-0,12,K.  Willis,5,3,8,7,0,2,"November 3, 2004",241103021,0,Hawks,C
--,0-0,0,1,3,2-6,0-0,20,P.  Drobnjak,2,1,4,5,2,2,"November 3, 2004",241103021,0,Hawks,C
--,0-0,1,0,1,0-2,2-2,8,R.  Ivey,0,3,2,1,1,2,"November 3, 2004",241103021,0,Hawks,PG
--,-----,--,--,--,-----,-----,--,K.  McLeod,--,--,--,--,--,--,"November 3, 2004",241103021,0,Hawks,PG
--,1-4,0,1,1,1-5,0-0,14,J.  Barry,0,1,3,1,0,3,"November 3, 2004",241103021,0,Hawks,SG
--,0-6,1,1,7,2-9,0-0,27,Q.  Richardson,0,4,4,7,2,1,"November 3, 2004",241103021,1,Suns,SF
--,0-0,1,2,4,9-13,5-6,30,A.  Stoudemire,4,0,23,8,1,0,"November 3, 2004",241103021,1,Suns,C
--,0-2,4,0,3,6-12,0-0,24,S.  Nash,0,2,12,3,2,3,"November 3, 2004",241103021,1,Suns,PG
--,0-0,2,2,7,5-9,0-1,25,S.  Marion,2,3,10,9,3,2,"November 3, 2004",241103021,1,Suns,SG
--,2-4,1,0,2,7-10,1-2,25,J.  Johnson,0,1,17,2,1,1,"November 3, 2004",241103021,1,Suns,SG
--,0-0,0,0,3,2-8,2-2,17,M.  Lampe,4,3,6,7,0,5,"November 3, 2004",241103021,0,Suns,PF
--,0-0,1,1,3,2-5,0-0,16,J.  Vroman,2,4,4,5,1,3,"November 3, 2004",241103021,0,Suns,PF
--,0-0,1,1,6,3-4,0-2,15,J.  Voskuhl,4,1,6,10,0,1,"November 3, 2004",241103021,0,Suns,C
--,0-0,0,1,1,2-2,0-2,10,S.  Hunter,0,2,4,1,1,0,"November 3, 2004",241103021,0,Suns,C
--,1-1,1,0,0,1-3,4-4,10,Y.  Tabuse,0,1,7,0,0,1,"November 3, 2004",241103021,0,Suns,PG
--,0-1,0,0,1,3-5,4-4,17,C.  Jacobsen,0,0,10,1,2,2,"November 3, 2004",241103021,0,Suns,SG
--,2-5,3,0,1,3-9,1-2,24,L.  Barbosa,1,5,9,2,0,2,"November 3, 2004",241103021,0,Suns,SG
--,2-5,4,1,5,9-21,4-6,43,A.  Walker,3,4,24,8,2,6,"November 5, 2004",241105025,1,Hawks,PF
--,0-0,2,0,2,6-20,2-4,38,A.  Harrington,2,5,14,4,0,2,"November 5, 2004",241105025,1,Hawks,PF
--,0-0,1,1,2,2-5,2-2,28,K.  Willis,1,3,6,3,0,1,"November 5, 2004",241105025,1,Hawks,C
--,1-1,2,0,1,2-5,0-0,34,B.  Diaw,1,2,5,2,1,3,"November 5, 2004",241105025,1,Hawks,C
--,0-0,1,0,2,4-8,2-2,34,K.  Anderson,1,3,10,3,1,1,"November 5, 2004",241105025,1,Hawks,PG
--,0-0,0,0,0,0-0,0-0,2,A.  Miller,0,1,0,0,0,0,"November 5, 2004",241105025,0,Hawks,PF
--,0-0,0,0,1,1-2,1-2,13,J.  Smith,0,3,3,1,1,1,"November 5, 2004",241105025,0,Hawks,PF
--,0-0,1,0,1,0-0,3-4,8,J.  Childress,0,2,3,1,0,1,"November 5, 2004",241105025,0,Hawks,SF
--,1-1,1,0,2,4-7,2-2,20,P.  Drobnjak,2,0,11,4,1,3,"November 5, 2004",241105025,0,Hawks,C
--,0-0,0,0,0,0-0,0-0,3,R.  Ivey,0,1,0,0,0,0,"November 5, 2004",241105025,0,Hawks,PG
--,1-3,2,0,1,3-6,2-2,17,J.  Barry,1,2,9,2,0,0,"November 5, 2004",241105025,0,Hawks,SG
,,,,,,,Did not play,J.  Collier,,,,,,,"November 5, 2004",241105025,0,Hawks,C
--,2-8,0,5,2,7-18,7-8,38,R.  Lewis,3,2,23,5,1,2,"November 5, 2004",241105025,1,SuperSonics,PF
--,0-0,1,4,1,1-3,1-2,17,J.  James,3,2,3,4,0,1,"November 5, 2004",241105025,1,SuperSonics,C
--,0-0,0,0,7,4-5,3-7,30,R.  Evans,2,2,11,9,1,0,"November 5, 2004",241105025,1,SuperSonics,C
--,0-2,6,1,1,3-10,3-3,28,L.  Ridnour,1,2,9,2,3,4,"November 5, 2004",241105025,1,SuperSonics,PG
--,4-7,3,0,1,10-16,1-1,38,R.  Allen,0,2,25,1,2,4,"November 5, 2004",241105025,1,SuperSonics,SG
--,0-0,0,0,1,1-2,0-0,11,N.  Collison,1,3,2,2,0,1,"November 5, 2004",241105025,0,SuperSonics,F
--,1-2,2,0,3,3-7,2-4,24,V.  Radmanovic,0,4,9,3,2,1,"November 5, 2004",241105025,0,SuperSonics,SF
--,0-0,0,0,0,0-0,1-2,2,R.  Swift,0,2,1,0,0,0,"November 5, 2004",241105025,0,SuperSonics,C
--,0-0,1,0,3,3-3,3-3,14,D.  Fortson,2,5,9,5,0,1,"November 5, 2004",241105025,0,SuperSonics,C
--,0-0,0,0,0,0-0,0-0,2,M.  Cleaves,0,1,0,0,0,0,"November 5, 2004",241105025,0,SuperSonics,PG
--,0-2,4,0,2,4-6,4-4,27,A.  Daniels,0,2,12,2,0,0,"November 5, 2004",241105025,0,SuperSonics,PG
--,0-2,0,0,0,1-3,0-0,9,D.  Wilkins,1,0,2,1,2,1,"November 5, 2004",241105025,0,SuperSonics,SG
--,0-5,2,1,2,8-20,4-5,42,A.  Walker,2,4,20,4,4,4,"November 7, 2004",241107013,1,Hawks,PF
--,2-4,0,1,4,9-14,2-2,40,A.  Harrington,0,5,22,4,1,2,"November 7, 2004",241107013,1,Hawks,PF
--,0-0,0,0,0,1-5,2-2,13,K.  Willis,3,2,4,3,2,0,"November 7, 2004",241107013,1,Hawks,C
--,1-3,6,0,1,3-6,0-0,34,B.  Diaw,1,3,7,2,0,2,"November 7, 2004",241107013,1,Hawks,C
--,0-1,5,0,4,0-6,0-0,21,K.  Anderson,0,1,0,4,0,1,"November 7, 2004",241107013,1,Hawks,PG
--,0-1,0,1,4,3-9,1-2,17,J.  Smith,2,1,7,6,0,1,"November 7, 2004",241107013,0,Hawks,PF
--,0-3,2,1,2,2-8,3-4,22,J.  Childress,3,5,7,5,1,0,"November 7, 2004",241107013,0,Hawks,SF
--,1-1,0,0,1,6-8,0-0,24,P.  Drobnjak,1,1,13,2,1,0,"November 7, 2004",241107013,0,Hawks,C
