+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
+7,1-1,4,5,6,5-10,0-0,25,J.  Smith,0,5,11,PF,6,0,3,"October 27, 2010",301027029,1,Hawks
+10,0-1,0,1,5,5-6,5-6,31,M.  Williams,2,0,15,PF,7,0,1,"October 27, 2010",301027029,1,Hawks
+2,0-0,1,0,7,1-5,0-1,18,A.  Horford,0,3,2,PF,7,1,1,"October 27, 2010",301027029,1,Hawks
+5,4-4,4,0,1,7-9,1-1,27,M.  Bibby,0,4,19,PG,1,1,1,"October 27, 2010",301027029,1,Hawks
+7,1-5,7,0,3,6-16,9-11,31,J.  Johnson,1,1,22,SG,4,1,2,"October 27, 2010",301027029,1,Hawks
+4,0-0,0,0,5,3-7,2-2,20,J.  Powell,1,1,8,PF,6,1,1,"October 27, 2010",301027029,0,Hawks
-4,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"October 27, 2010",301027029,0,Hawks
+13,0-0,1,2,6,5-7,7-7,30,Z.  Pachulia,5,3,17,C,11,0,2,"October 27, 2010",301027029,0,Hawks
+2,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"October 27, 2010",301027029,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"October 27, 2010",301027029,0,Hawks
+10,1-1,1,1,0,2-5,0-0,16,J.  Teague,0,0,5,PG,0,0,2,"October 27, 2010",301027029,0,Hawks
-3,0-1,0,0,1,0-1,0-0,2,J.  Crawford,0,0,0,SG,1,0,0,"October 27, 2010",301027029,0,Hawks
+8,1-1,0,0,0,3-3,0-0,15,M.  Evans,0,3,7,SG,0,0,0,"October 27, 2010",301027029,0,Hawks
+12,0-2,2,0,1,5-11,3-3,25,J.  Crawford,0,0,13,SG,1,3,2,"October 27, 2010",301027029,0,Hawks
-9,0-0,0,0,3,8-12,3-3,31,D.  Arthur,0,6,19,PF,3,0,2,"October 27, 2010",301027029,1,Grizzlies
-9,0-0,0,0,1,1-6,2-2,15,Z.  Randolph,1,1,4,PF,2,0,0,"October 27, 2010",301027029,1,Grizzlies
-10,1-2,2,0,8,7-16,6-7,31,R.  Gay,2,4,21,SF,10,1,0,"October 27, 2010",301027029,1,Grizzlies
-1,1-2,8,0,4,9-15,4-4,36,M.  Conley,1,3,23,PG,5,0,2,"October 27, 2010",301027029,1,Grizzlies
-3,1-2,0,0,1,4-9,0-0,34,O.J. ,1,3,9,SG,2,0,2,"October 27, 2010",301027029,1,Grizzlies
+3,0-0,0,0,2,0-1,2-2,6,D.  Carroll,1,0,2,SF,3,0,0,"October 27, 2010",301027029,0,Grizzlies
-4,1-1,2,1,5,8-12,0-1,26,S.  Young,0,1,17,SF,5,3,2,"October 27, 2010",301027029,0,Grizzlies
+7,0-0,0,0,0,0-0,0-0,0,M.  Gasol,0,0,0,C,0,0,0,"October 27, 2010",301027029,0,Grizzlies
+5,0-0,0,1,3,0-0,0-0,5,H.  Haddadi,0,0,0,C,3,0,0,"October 27, 2010",301027029,0,Grizzlies
-18,0-0,0,2,2,0-4,0-0,19,H.  Thabeet,1,1,0,C,3,0,2,"October 27, 2010",301027029,0,Grizzlies
-14,0-2,0,0,0,0-2,3-6,12,A.  Law,0,2,3,PG,0,2,3,"October 27, 2010",301027029,0,Grizzlies
-1,0-0,0,0,0,0-0,0-0,0,G.  Vasquez,0,0,0,PG,0,0,0,"October 27, 2010",301027029,0,Grizzlies
-17,0-0,1,0,0,0-6,0-0,11,T.  Allen,1,4,0,SG,1,1,1,"October 27, 2010",301027029,0,Grizzlies
+2,0-0,0,0,1,3-3,0-0,14,X.  Henry,1,1,6,SG,2,0,0,"October 27, 2010",301027029,0,Grizzlies
+11,1-2,3,6,8,4-11,3-4,29,J.  Smith,1,3,12,PF,9,1,5,"October 29, 2010",301029020,1,Hawks
+2,0-3,1,0,5,3-8,0-1,33,M.  Williams,2,2,6,PF,7,0,2,"October 29, 2010",301029020,1,Hawks
-4,0-0,3,2,10,9-11,2-2,34,A.  Horford,2,4,20,PF,12,0,2,"October 29, 2010",301029020,1,Hawks
-5,2-6,6,0,1,2-8,2-2,34,M.  Bibby,0,3,8,PG,1,1,1,"October 29, 2010",301029020,1,Hawks
-5,1-3,2,0,5,6-10,9-12,32,J.  Johnson,0,4,22,SG,5,0,6,"October 29, 2010",301029020,1,Hawks
-1,0-0,1,0,2,2-5,2-2,22,J.  Powell,2,2,6,PF,4,0,1,"October 29, 2010",301029020,0,Hawks
+5,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"October 29, 2010",301029020,0,Hawks
+7,0-0,1,0,5,3-5,1-1,14,Z.  Pachulia,2,2,7,C,7,1,1,"October 29, 2010",301029020,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"October 29, 2010",301029020,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"October 29, 2010",301029020,0,Hawks
+3,0-0,2,0,0,2-3,0-0,11,J.  Teague,0,4,4,PG,0,0,0,"October 29, 2010",301029020,0,Hawks
+3,0-0,0,0,0,0-0,0-0,0,J.  Crawford,0,0,0,SG,0,0,0,"October 29, 2010",301029020,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"October 29, 2010",301029020,0,Hawks
+0,2-3,5,0,0,5-9,7-7,32,J.  Crawford,1,2,19,SG,1,0,2,"October 29, 2010",301029020,0,Hawks
+4,0-0,2,0,4,8-13,4-4,38,E.  Brand,4,3,20,PF,8,1,1,"October 29, 2010",301029020,1,76ers
-7,0-0,0,1,2,3-11,0-0,22,S.  Hawes,2,2,6,PF,4,2,1,"October 29, 2010",301029020,1,76ers
+3,2-5,10,1,5,10-19,5-6,42,A.  Iguodala,1,1,27,SF,6,2,3,"October 29, 2010",301029020,1,76ers
+5,1-2,4,1,2,3-11,1-2,32,J.  Holiday,2,4,8,PG,4,2,0,"October 29, 2010",301029020,1,76ers
-2,0-0,0,0,1,0-1,0-0,8,J.  Kapono,0,0,0,SG,1,0,0,"October 29, 2010",301029020,1,76ers
-6,0-0,0,0,0,0-0,0-0,0,C.  Brackins,0,0,0,PF,0,0,0,"October 29, 2010",301029020,0,76ers
-3,0-0,0,1,3,3-7,0-1,17,T.  Young,1,1,6,PF,4,1,1,"October 29, 2010",301029020,0,76ers
-6,0-0,0,0,0,0-1,0-0,3,M.  Speights,0,1,0,PF,0,0,2,"October 29, 2010",301029020,0,76ers
+0,0-0,0,0,0,0-0,0-0,0,D.  Songaila,0,0,0,PF,0,0,0,"October 29, 2010",301029020,0,76ers
-6,0-1,4,1,2,0-5,0-0,19,E.  Turner,0,3,0,SF,2,0,0,"October 29, 2010",301029020,0,76ers
-2,2-3,0,0,3,5-10,3-5,30,A.  Nocioni,2,2,15,SF,5,0,0,"October 29, 2010",301029020,0,76ers
+3,0-0,0,1,1,1-1,1-2,10,T.  Battie,0,1,3,C,1,0,0,"October 29, 2010",301029020,0,76ers
-7,0-0,0,0,0,0-0,0-0,0,J.  Meeks,0,0,0,SG,0,0,0,"October 29, 2010",301029020,0,76ers
-4,0-0,4,0,1,2-6,12-13,20,L.  Williams,0,3,16,SG,1,1,0,"October 29, 2010",301029020,0,76ers
+2,0-2,1,1,3,10-15,4-8,42,A.  Thornton,4,1,24,SF,7,2,1,"October 30, 2010",301030001,1,Wizards
+0,0-1,2,1,5,9-19,0-0,34,A.  Blatche,2,3,18,C,7,1,4,"October 30, 2010",301030001,1,Wizards
-6,0-0,0,7,6,3-4,1-1,27,J.  McGee,2,5,7,C,8,1,5,"October 30, 2010",301030001,1,Wizards
+3,2-3,9,0,5,9-17,8-10,42,J.  Wall,0,1,28,PG,5,0,3,"October 30, 2010",301030001,1,Wizards
-5,2-5,4,0,3,3-8,0-0,41,K.  Hinrich,0,5,8,SG,3,3,0,"October 30, 2010",301030001,1,Wizards
-4,0-0,0,0,1,0-1,0-0,3,T.  Booker,0,1,0,PF,1,0,0,"October 30, 2010",301030001,0,Wizards
-13,0-0,0,0,0,0-1,0-0,9,C.  Martin,0,2,0,PF,0,1,1,"October 30, 2010",301030001,0,Wizards
+0,0-0,0,2,2,0-1,0-0,8,H.  Armstrong,0,2,0,PF,2,0,2,"October 30, 2010",301030001,0,Wizards
+5,0-0,0,1,1,4-8,2-2,24,Y.  Jianlian,0,4,10,SF,1,0,1,"October 30, 2010",301030001,0,Wizards
+8,0-0,0,0,0,0-0,0-0,0,J.  Howard,0,0,0,SF,0,0,0,"October 30, 2010",301030001,0,Wizards
-4,0-0,0,0,0,0-0,0-0,0,H.  Ndiaye,0,0,0,C,0,0,0,"October 30, 2010",301030001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,K.  Seraphin,0,0,0,C,0,0,0,"October 30, 2010",301030001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,G.  Arenas,0,0,0,PG,0,0,0,"October 30, 2010",301030001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,L.  Hudson,0,0,0,SG,0,0,0,"October 30, 2010",301030001,0,Wizards
-2,0-1,0,1,0,0-2,0-0,11,N.  Young,0,1,0,SG,0,0,0,"October 30, 2010",301030001,0,Wizards
-1,0-0,3,2,8,4-8,4-5,34,J.  Smith,2,4,12,PF,10,1,4,"October 30, 2010",301030001,1,Hawks
-10,0-1,2,0,4,0-3,0-0,21,M.  Williams,0,3,0,PF,4,0,0,"October 30, 2010",301030001,1,Hawks
-6,0-0,3,0,8,6-10,9-10,26,A.  Horford,2,3,21,PF,10,0,1,"October 30, 2010",301030001,1,Hawks
+15,2-5,4,0,2,5-9,0-0,31,M.  Bibby,1,3,12,PG,3,0,0,"October 30, 2010",301030001,1,Hawks
+14,2-5,3,0,2,10-23,3-4,43,J.  Johnson,1,0,25,SG,3,2,4,"October 30, 2010",301030001,1,Hawks
+5,0-0,0,0,2,0-2,0-0,14,J.  Powell,3,1,0,PF,5,0,1,"October 30, 2010",301030001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"October 30, 2010",301030001,0,Hawks
+2,0-0,0,1,1,1-3,4-4,17,Z.  Pachulia,4,4,6,C,5,0,2,"October 30, 2010",301030001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"October 30, 2010",301030001,0,Hawks
+8,0-0,0,1,1,1-1,0-0,5,J.  Collins,0,2,2,C,1,0,3,"October 30, 2010",301030001,0,Hawks
-6,0-0,1,0,1,2-7,2-2,14,J.  Teague,0,2,6,PG,1,0,0,"October 30, 2010",301030001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Crawford,0,0,0,SG,0,0,0,"October 30, 2010",301030001,0,Hawks
+8,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"October 30, 2010",301030001,0,Hawks
-1,1-8,3,0,1,5-15,4-5,34,J.  Crawford,0,0,15,SG,1,1,1,"October 30, 2010",301030001,0,Hawks
+5,0-1,4,5,8,3-11,0-2,35,J.  Smith,3,3,6,PF,11,2,0,"November 2, 2010",301102005,1,Hawks
+9,1-3,2,0,3,8-12,5-6,36,M.  Williams,1,2,22,PF,4,1,2,"November 2, 2010",301102005,1,Hawks
+0,0-0,4,0,6,7-13,2-2,31,A.  Horford,6,3,16,PF,12,1,0,"November 2, 2010",301102005,1,Hawks
+7,1-4,1,0,0,6-10,2-5,28,M.  Bibby,0,2,15,PG,0,0,0,"November 2, 2010",301102005,1,Hawks
+14,1-6,9,1,4,6-21,2-2,42,J.  Johnson,2,0,15,SG,6,1,2,"November 2, 2010",301102005,1,Hawks
+7,0-0,2,0,4,2-4,1-2,13,J.  Powell,0,1,5,PF,4,0,0,"November 2, 2010",301102005,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"November 2, 2010",301102005,0,Hawks
+9,0-0,0,0,2,1-1,1-3,16,Z.  Pachulia,0,3,3,C,2,0,1,"November 2, 2010",301102005,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"November 2, 2010",301102005,0,Hawks
+1,0-0,0,0,0,0-0,0-0,2,J.  Collins,0,0,0,C,0,0,0,"November 2, 2010",301102005,0,Hawks
+4,0-1,2,1,1,0-5,2-2,17,J.  Teague,1,2,2,PG,2,2,1,"November 2, 2010",301102005,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Crawford,0,0,0,SG,0,0,0,"November 2, 2010",301102005,0,Hawks
+1,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"November 2, 2010",301102005,0,Hawks
+4,2-2,2,0,1,4-7,6-6,22,J.  Crawford,1,1,16,SG,2,0,1,"November 2, 2010",301102005,0,Hawks
+2,0-2,2,2,6,3-5,0-0,34,J.  Moon,1,3,6,SF,7,0,0,"November 2, 2010",301102005,1,Cavaliers
-9,0-0,3,0,10,1-6,0-0,34,A.  Varejao,2,3,2,C,12,0,2,"November 2, 2010",301102005,1,Cavaliers
-6,0-0,0,0,3,11-17,9-11,32,J.  Hickson,2,0,31,C,5,1,5,"November 2, 2010",301102005,1,Cavaliers
+2,0-0,3,0,1,2-9,3-4,22,R.  Sessions,2,1,7,PG,3,0,2,"November 2, 2010",301102005,1,Cavaliers
-12,2-3,2,0,2,4-10,0-0,32,A.  Parker,1,2,10,SG,3,0,0,"November 2, 2010",301102005,1,Cavaliers
-1,0-0,0,0,0,0-0,0-0,0,A.  Jamison,0,0,0,PF,0,0,0,"November 2, 2010",301102005,0,Cavaliers
+0,0-0,0,0,0,0-0,0-0,0,S.  Samuels,0,0,0,PF,0,0,0,"November 2, 2010",301102005,0,Cavaliers
+0,0-0,0,1,3,0-1,1-4,8,L.  Powe,0,0,1,PF,3,0,0,"November 2, 2010",301102005,0,Cavaliers
+0,0-0,0,0,0,0-0,0-0,0,C.  Eyenga,0,0,0,SF,0,0,0,"November 2, 2010",301102005,0,Cavaliers
+0,0-0,0,0,0,0-0,0-0,0,J.  Graham,0,0,0,SF,0,0,0,"November 2, 2010",301102005,0,Cavaliers
-15,1-1,0,0,1,2-2,0-0,15,J.  Williams,0,1,5,SF,1,0,1,"November 2, 2010",301102005,0,Cavaliers
