+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
-3,0-0,1,0,0,2-2,4-4,14,R.  Hollins,1,4,8,C,1,0,1,"November 2, 2010",301102005,0,Cavaliers
-15,2-6,2,1,1,4-12,2-2,24,M.  Williams,1,3,12,PG,2,0,1,"November 2, 2010",301102005,0,Cavaliers
+0,0-0,0,0,0,0-0,0-0,0,M.  Harris,0,0,0,PG,0,0,0,"November 2, 2010",301102005,0,Cavaliers
-4,0-5,2,0,7,3-10,0-1,24,D.  Gibson,0,5,6,SG,7,1,2,"November 2, 2010",301102005,0,Cavaliers
-10,0-0,2,0,3,0-1,0-0,21,B.  Wallace,3,1,0,PF,6,0,0,"November 3, 2010",301103001,1,Pistons
-8,1-1,0,0,2,8-14,0-0,37,T.  Prince,3,1,17,SF,5,0,1,"November 3, 2010",301103001,1,Pistons
+4,0-3,3,0,2,2-12,2-2,24,A.  Daye,2,3,6,SF,4,0,0,"November 3, 2010",301103001,1,Pistons
-2,1-3,3,0,1,2-6,0-0,14,R.  Stuckey,0,2,5,PG,1,2,0,"November 3, 2010",301103001,1,Pistons
-8,0-3,4,1,3,9-19,4-5,42,B.  Gordon,1,5,22,SG,4,1,3,"November 3, 2010",301103001,1,Pistons
+1,0-0,0,0,0,0-0,0-0,0,J.  Jerebko,0,0,0,PF,0,0,0,"November 3, 2010",301103001,0,Pistons
+0,0-0,0,0,0,0-0,0-0,0,J.  Maxiell,0,0,0,PF,0,0,0,"November 3, 2010",301103001,0,Pistons
-7,0-5,3,1,4,6-16,2-2,36,C.  Villanueva,0,4,14,PF,4,1,0,"November 3, 2010",301103001,0,Pistons
-10,0-0,0,0,0,0-0,0-0,0,C.  Wilcox,0,0,0,PF,0,0,0,"November 3, 2010",301103001,0,Pistons
-8,1-1,0,0,1,2-6,0-0,16,D.  Summers,1,1,5,SF,2,0,2,"November 3, 2010",301103001,0,Pistons
+1,0-0,3,0,2,3-9,1-4,27,G.  Monroe,6,3,7,C,8,0,0,"November 3, 2010",301103001,0,Pistons
+0,0-0,0,0,0,0-0,0-0,0,W.  Bynum,0,0,0,PG,0,0,0,"November 3, 2010",301103001,0,Pistons
+1,0-0,0,0,0,0-0,0-0,0,T.  White,0,0,0,SG,0,0,0,"November 3, 2010",301103001,0,Pistons
+0,0-0,0,0,0,0-0,0-0,0,R.  Hamilton,0,0,0,SG,0,0,0,"November 3, 2010",301103001,0,Pistons
-7,0-1,3,0,3,4-7,1-2,24,T.  McGrady,1,1,9,SG,4,3,2,"November 3, 2010",301103001,0,Pistons
+18,1-1,4,2,9,8-12,5-8,35,J.  Smith,2,0,22,PF,11,1,1,"November 3, 2010",301103001,1,Hawks
+9,0-1,2,0,8,3-8,5-6,33,M.  Williams,0,1,11,PF,8,0,0,"November 3, 2010",301103001,1,Hawks
+17,0-0,2,1,8,8-12,2-2,37,A.  Horford,0,3,18,PF,8,0,4,"November 3, 2010",301103001,1,Hawks
+17,0-3,4,0,1,2-5,0-0,34,M.  Bibby,0,2,4,PG,1,0,0,"November 3, 2010",301103001,1,Hawks
+4,2-7,8,0,3,5-15,2-2,42,J.  Johnson,0,1,14,SG,3,0,2,"November 3, 2010",301103001,1,Hawks
-10,0-1,1,0,1,1-4,2-2,13,J.  Powell,0,0,4,PF,1,0,1,"November 3, 2010",301103001,0,Hawks
+1,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"November 3, 2010",301103001,0,Hawks
+2,0-0,0,0,1,6-7,0-0,19,Z.  Pachulia,1,1,12,C,2,1,1,"November 3, 2010",301103001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"November 3, 2010",301103001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"November 3, 2010",301103001,0,Hawks
-4,0-0,2,0,1,2-2,3-3,16,J.  Teague,0,2,7,PG,1,1,3,"November 3, 2010",301103001,0,Hawks
-8,0-1,2,0,0,1-2,0-0,11,J.  Crawford,0,3,2,SG,0,0,1,"November 3, 2010",301103001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"November 3, 2010",301103001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Crawford,0,0,0,SG,0,0,0,"November 3, 2010",301103001,0,Hawks
+15,0-1,6,5,6,9-13,2-3,40,J.  Smith,2,1,20,PF,8,2,0,"November 5, 2010",301105016,1,Hawks
+16,0-0,3,0,9,7-11,0-0,25,A.  Horford,3,5,14,PF,12,0,2,"November 5, 2010",301105016,1,Hawks
+13,0-0,2,0,2,2-3,2-2,21,J.  Collins,1,2,6,C,3,0,0,"November 5, 2010",301105016,1,Hawks
+15,3-7,5,0,4,5-11,2-3,29,M.  Bibby,0,1,15,PG,4,1,4,"November 5, 2010",301105016,1,Hawks
+4,0-4,5,0,4,4-13,3-3,37,J.  Johnson,0,1,11,SG,4,0,1,"November 5, 2010",301105016,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,PF,0,0,0,"November 5, 2010",301105016,0,Hawks
-6,0-0,0,1,1,5-6,0-0,13,J.  Powell,0,1,10,PF,1,0,1,"November 5, 2010",301105016,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"November 5, 2010",301105016,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"November 5, 2010",301105016,0,Hawks
-4,0-0,0,0,3,1-2,5-8,19,Z.  Pachulia,1,1,7,C,4,1,1,"November 5, 2010",301105016,0,Hawks
-3,0-1,5,1,1,2-5,2-2,15,J.  Teague,0,1,6,PG,1,1,0,"November 5, 2010",301105016,0,Hawks
+0,0-1,0,0,1,1-3,0-0,10,J.  Crawford,0,1,2,SG,1,0,0,"November 5, 2010",301105016,0,Hawks
+0,1-4,1,1,4,8-14,5-5,32,J.  Crawford,1,1,22,SG,5,0,6,"November 5, 2010",301105016,0,Hawks
+13,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"November 5, 2010",301105016,0,Hawks
-9,0-3,2,2,5,6-17,4-5,36,M.  Beasley,1,4,16,SF,6,1,3,"November 5, 2010",301105016,1,Timberwolves
-2,4-6,2,1,1,7-11,0-0,35,W.  Johnson,0,2,18,SF,1,1,0,"November 5, 2010",301105016,1,Timberwolves
-8,0-0,1,3,5,2-7,0-0,21,D.  Milicic,3,1,4,C,8,0,1,"November 5, 2010",301105016,1,Timberwolves
-17,1-4,2,0,6,6-19,5-5,27,K.  Love,6,4,18,C,12,1,1,"November 5, 2010",301105016,1,Timberwolves
-11,1-2,2,0,1,4-6,0-0,21,L.  Ridnour,1,1,9,PG,2,0,1,"November 5, 2010",301105016,1,Timberwolves
+3,0-3,6,0,4,2-6,0-0,22,A.  Tolliver,2,4,4,PF,6,0,1,"November 5, 2010",301105016,0,Timberwolves
+0,0-0,0,0,0,0-0,0-0,0,L.  Hayward,0,0,0,SF,0,0,0,"November 5, 2010",301105016,0,Timberwolves
+3,0-0,0,0,0,0-0,0-0,0,M.  Webster,0,0,0,SF,0,0,0,"November 5, 2010",301105016,0,Timberwolves
-6,0-0,0,0,0,0-0,0-0,0,M.  Ager,0,0,0,SF,0,0,0,"November 5, 2010",301105016,0,Timberwolves
+0,0-0,0,0,0,0-0,0-0,0,K.  Koufos,0,0,0,C,0,0,0,"November 5, 2010",301105016,0,Timberwolves
+0,0-0,0,0,0,2-6,0-0,13,N.  Pekovic,1,3,4,C,1,0,1,"November 5, 2010",301105016,0,Timberwolves
-3,0-0,0,0,0,0-0,0-0,0,J.  Flynn,0,0,0,PG,0,0,0,"November 5, 2010",301105016,0,Timberwolves
+1,2-3,7,1,2,3-8,0-0,27,S.  Telfair,1,2,8,PG,3,0,1,"November 5, 2010",301105016,0,Timberwolves
-10,0-0,0,0,1,2-3,0-0,12,W.  Ellington,0,0,4,SG,1,0,1,"November 5, 2010",301105016,0,Timberwolves
+3,0-1,2,1,1,8-16,2-2,25,C.  Brewer,1,1,18,SG,2,5,1,"November 5, 2010",301105016,0,Timberwolves
-10,0-0,2,0,4,5-10,4-4,23,G.  Hill,2,1,14,SF,6,1,3,"November 7, 2010",301107001,1,Suns
+9,3-6,4,1,4,4-7,0-0,27,H.  Turkoglu,0,3,11,SF,4,0,2,"November 7, 2010",301107001,1,Suns
+14,0-0,0,0,1,3-4,1-1,19,R.  Lopez,0,2,7,C,1,1,1,"November 7, 2010",301107001,1,Suns
+6,1-1,15,0,3,7-11,4-4,33,S.  Nash,2,0,19,PG,5,0,2,"November 7, 2010",301107001,1,Suns
-4,3-7,1,0,2,9-15,0-0,31,J.  Richardson,0,3,21,SG,2,2,2,"November 7, 2010",301107001,1,Suns
+0,0-0,0,0,0,0-0,0-0,0,G.  Lawal,0,0,0,PF,0,0,0,"November 7, 2010",301107001,0,Suns
-8,2-5,2,0,2,3-7,0-0,29,C.  Frye,0,3,8,PF,2,0,0,"November 7, 2010",301107001,0,Suns
-5,0-0,1,0,2,3-5,0-2,21,H.  Warrick,0,3,6,PF,2,0,1,"November 7, 2010",301107001,0,Suns
+0,0-0,0,0,0,0-0,0-0,0,E.  Clark,0,0,0,SF,0,0,0,"November 7, 2010",301107001,0,Suns
+6,0-1,2,0,3,4-9,3-4,22,J.  Childress,3,3,11,SF,6,0,1,"November 7, 2010",301107001,0,Suns
+12,1-2,0,0,3,5-8,4-5,20,J.  Dudley,3,1,15,SF,6,1,1,"November 7, 2010",301107001,0,Suns
+0,0-0,0,0,0,0-0,0-0,0,G.  Siler,0,0,0,C,0,0,0,"November 7, 2010",301107001,0,Suns
+0,1-1,1,0,0,2-5,1-2,14,G.  Dragic,1,1,6,PG,1,2,1,"November 7, 2010",301107001,0,Suns
+0,0-0,0,0,0,0-0,0-0,0,M.  Janning,0,0,0,SG,0,0,0,"November 7, 2010",301107001,0,Suns
+8,0-1,4,1,6,6-10,7-8,42,J.  Smith,3,5,19,PF,9,3,4,"November 7, 2010",301107001,1,Hawks
+6,0-0,5,2,5,13-16,4-5,42,A.  Horford,5,0,30,PF,10,1,1,"November 7, 2010",301107001,1,Hawks
-1,0-0,0,0,0,0-0,0-0,4,J.  Collins,0,0,0,C,0,0,0,"November 7, 2010",301107001,1,Hawks
+0,3-6,3,0,4,4-8,1-2,31,M.  Bibby,1,3,12,PG,5,0,2,"November 7, 2010",301107001,1,Hawks
-1,2-6,6,0,4,15-27,2-4,44,J.  Johnson,3,4,34,SG,7,0,1,"November 7, 2010",301107001,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,PF,0,0,0,"November 7, 2010",301107001,0,Hawks
-14,0-0,0,0,2,2-5,0-0,12,J.  Powell,1,1,4,PF,3,0,0,"November 7, 2010",301107001,0,Hawks
-3,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"November 7, 2010",301107001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"November 7, 2010",301107001,0,Hawks
-13,0-0,1,0,0,0-1,0-0,8,Z.  Pachulia,0,3,0,C,0,0,1,"November 7, 2010",301107001,0,Hawks
-6,0-0,5,0,4,2-2,0-0,17,J.  Teague,0,1,4,PG,4,0,2,"November 7, 2010",301107001,0,Hawks
-3,0-2,1,0,1,0-3,0-0,9,J.  Crawford,0,1,0,SG,1,1,0,"November 7, 2010",301107001,0,Hawks
+4,2-8,4,1,1,3-11,3-3,30,J.  Crawford,0,4,11,SG,1,1,3,"November 7, 2010",301107001,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"November 7, 2010",301107001,0,Hawks
-8,1-3,6,1,11,6-15,0-1,35,J.  Smith,2,3,13,PF,13,1,3,"November 8, 2010",301108019,1,Hawks
+15,0-0,5,0,4,8-13,0-0,28,A.  Horford,1,4,16,PF,5,2,0,"November 8, 2010",301108019,1,Hawks
+15,0-0,0,0,2,3-6,0-0,22,J.  Collins,0,3,6,C,2,0,0,"November 8, 2010",301108019,1,Hawks
+10,1-2,2,0,4,3-6,0-0,31,M.  Bibby,1,0,7,PG,5,0,3,"November 8, 2010",301108019,1,Hawks
+0,2-4,4,0,5,9-15,3-3,42,J.  Johnson,0,1,23,SG,5,0,1,"November 8, 2010",301108019,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,PF,0,0,0,"November 8, 2010",301108019,0,Hawks
-12,0-0,0,0,2,2-4,2-2,14,J.  Powell,2,2,6,PF,4,1,2,"November 8, 2010",301108019,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,P.  Sy,0,0,0,SF,0,0,0,"November 8, 2010",301108019,0,Hawks
-6,0-0,0,0,1,1-3,0-0,5,E.  Thomas,1,2,2,C,2,0,1,"November 8, 2010",301108019,0,Hawks
-8,0-0,0,0,6,0-0,2-2,16,Z.  Pachulia,1,4,2,C,7,0,2,"November 8, 2010",301108019,0,Hawks
