+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
-2,0-1,0,0,1,1-3,2-2,8,D.  Horner,1,0,4,PF,2,0,0,"December 27, 2011",311227017,0,Nets
-13,0-2,0,0,3,1-4,0-0,21,S.  Williams,0,1,2,SF,3,0,0,"December 27, 2011",311227017,0,Nets
-26,0-0,0,0,0,0-0,0-0,0,J.  Williams,0,0,0,C,0,0,0,"December 27, 2011",311227017,0,Nets
-15,1-4,1,0,2,1-6,0-1,20,M.  Okur,0,5,3,C,2,0,2,"December 27, 2011",311227017,0,Nets
-19,0-0,0,1,2,2-3,3-4,17,S.  Williams,2,3,7,C,4,0,0,"December 27, 2011",311227017,0,Nets
+0,0-0,0,0,0,0-0,0-0,0,B.  Lopez,0,0,0,C,0,0,0,"December 27, 2011",311227017,0,Nets
-8,0-1,4,0,4,3-5,2-3,19,S.  Gaines,0,2,8,PG,4,1,4,"December 27, 2011",311227017,0,Nets
-10,1-2,1,1,0,1-4,0-0,12,J.  Farmar,0,0,3,PG,0,0,1,"December 27, 2011",311227017,0,Nets
-15,0-4,1,1,1,5-12,7-8,28,M.  Brooks,2,0,17,SG,3,1,0,"December 27, 2011",311227017,0,Nets
-3,0-4,1,0,2,0-4,2-2,12,D.  Stevenson,0,1,2,SG,2,0,0,"December 27, 2011",311227017,0,Nets
-19,2-3,0,0,3,5-9,1-1,28,R.  Lewis,0,3,13,PF,3,0,1,"December 28, 2011",311228001,1,Wizards
-16,0-0,1,0,2,2-13,0-1,27,A.  Blatche,2,1,4,C,4,0,1,"December 28, 2011",311228001,1,Wizards
-25,0-0,0,1,9,7-11,1-2,28,J.  McGee,3,4,15,C,12,2,2,"December 28, 2011",311228001,1,Wizards
-23,0-0,6,1,1,6-15,8-10,37,J.  Wall,1,1,20,PG,2,3,6,"December 28, 2011",311228001,1,Wizards
-22,0-5,1,0,1,0-6,1-2,22,J.  Crawford,0,2,1,SG,1,0,3,"December 28, 2011",311228001,1,Wizards
+5,0-0,0,0,0,0-0,0-0,0,J.  Vesely,0,0,0,PF,0,0,0,"December 28, 2011",311228001,0,Wizards
+1,0-0,0,0,0,0-0,0-0,6,T.  Booker,0,2,0,PF,0,0,0,"December 28, 2011",311228001,0,Wizards
-1,1-1,0,0,3,3-4,0-0,26,C.  Singleton,0,4,7,SF,3,2,1,"December 28, 2011",311228001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,H.  Ndiaye,0,0,0,C,0,0,0,"December 28, 2011",311228001,0,Wizards
+2,0-0,0,0,2,0-1,0-0,3,K.  Seraphin,0,0,0,C,2,0,2,"December 28, 2011",311228001,0,Wizards
+5,0-0,2,1,3,1-1,0-0,17,R.  Turiaf,0,2,2,C,3,3,0,"December 28, 2011",311228001,0,Wizards
+1,3-6,4,0,2,6-12,6-6,32,N.  Young,0,3,21,SG,2,0,0,"December 28, 2011",311228001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,M.  Evans,0,0,0,SG,0,0,0,"December 28, 2011",311228001,0,Wizards
+2,0-0,0,0,0,0-0,0-0,3,R.  Mason J,0,1,0,SG,0,0,0,"December 28, 2011",311228001,0,Wizards
+5,0-1,2,0,0,0-5,0-0,11,S.  Mack,0,1,0,kG,0,0,0,"December 28, 2011",311228001,0,Wizards
+26,0-1,4,2,6,5-11,5-7,33,J.  Smith,4,2,15,PF,10,0,2,"December 28, 2011",311228001,1,Hawks
+26,2-3,2,1,6,4-8,7-10,30,M.  Williams,2,3,17,PF,8,2,0,"December 28, 2011",311228001,1,Hawks
+25,0-0,2,2,8,4-9,3-4,33,A.  Horford,2,1,11,PF,10,2,0,"December 28, 2011",311228001,1,Hawks
+22,1-3,5,0,2,4-11,2-2,32,J.  Teague,0,5,11,PG,2,2,2,"December 28, 2011",311228001,1,Hawks
+30,4-8,4,0,1,7-16,0-0,33,J.  Johnson,2,1,18,SG,3,0,2,"December 28, 2011",311228001,1,Hawks
+0,0-0,0,0,0,0-0,0-0,2,I.  Johnson,0,1,0,PF,0,0,0,"December 28, 2011",311228001,0,Hawks
-10,1-1,1,0,2,2-4,0-0,14,V.  Radmanovic,1,0,5,SF,3,0,3,"December 28, 2011",311228001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"December 28, 2011",311228001,0,Hawks
-10,0-0,1,0,2,1-2,4-4,16,Z.  Pachulia,0,3,6,C,2,0,1,"December 28, 2011",311228001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"December 28, 2011",311228001,0,Hawks
+1,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"December 28, 2011",311228001,0,Hawks
-7,1-6,1,0,1,1-6,0-0,14,J.  Pargo,0,0,3,PG,1,0,2,"December 28, 2011",311228001,0,Hawks
+2,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"December 28, 2011",311228001,0,Hawks
-7,0-1,0,0,2,1-3,2-2,12,W.  Green,0,4,4,SG,2,0,1,"December 28, 2011",311228001,0,Hawks
-5,0-0,1,0,4,3-5,5-6,19,T.  McGrady,0,1,11,SG,4,0,1,"December 28, 2011",311228001,0,Hawks
+10,0-0,2,0,8,4-8,2-2,31,K.  Humphries,5,4,10,PF,13,0,2,"December 30, 2011",311230001,1,Nets
-1,0-0,0,0,2,1-6,0-0,20,D.  James,0,0,2,SF,2,1,1,"December 30, 2011",311230001,1,Nets
-5,3-5,3,0,4,6-9,0-0,33,M.  Okur,1,2,15,C,5,0,2,"December 30, 2011",311230001,1,Nets
-10,1-3,6,1,2,9-18,4-4,34,D.  Williams,0,3,23,PG,2,2,2,"December 30, 2011",311230001,1,Nets
+4,1-1,5,0,1,3-7,3-3,28,S.  Gaines,2,4,10,PG,3,2,0,"December 30, 2011",311230001,1,Nets
+0,0-0,0,0,0,0-0,0-0,0,D.  Horner,0,0,0,PF,0,0,0,"December 30, 2011",311230001,0,Nets
-3,0-2,1,0,3,0-4,0-0,16,S.  Williams,1,3,0,SF,4,0,0,"December 30, 2011",311230001,0,Nets
-5,0-0,0,0,0,2-4,0-1,6,J.  Petro,2,3,4,C,2,0,3,"December 30, 2011",311230001,0,Nets
-2,0-0,0,0,0,0-0,0-0,0,J.  Williams,0,0,0,C,0,0,0,"December 30, 2011",311230001,0,Nets
-5,0-0,0,0,1,2-2,0-0,9,S.  Williams,1,1,4,C,2,0,0,"December 30, 2011",311230001,0,Nets
+0,0-0,0,0,0,0-0,0-0,0,B.  Lopez,0,0,0,C,0,0,0,"December 30, 2011",311230001,0,Nets
+0,0-0,0,0,0,0-0,0-0,0,J.  Farmar,0,0,0,PG,0,0,0,"December 30, 2011",311230001,0,Nets
-9,0-2,1,0,0,0-2,0-0,10,D.  Stevenson,0,0,0,SG,0,1,0,"December 30, 2011",311230001,0,Nets
-2,1-2,1,1,2,8-13,4-4,29,M.  Brooks,3,4,21,SG,5,0,3,"December 30, 2011",311230001,0,Nets
-9,3-5,1,0,2,3-9,0-0,26,A.  Morrow,0,2,9,SG,2,1,0,"December 30, 2011",311230001,0,Nets
-4,0-1,3,1,5,4-10,1-3,34,J.  Smith,1,1,9,PF,6,1,3,"December 30, 2011",311230001,1,Hawks
+1,1-3,2,0,4,4-9,2-2,25,M.  Williams,2,0,11,PF,6,1,0,"December 30, 2011",311230001,1,Hawks
-8,0-0,2,3,0,4-8,4-8,26,A.  Horford,5,5,12,PF,5,1,1,"December 30, 2011",311230001,1,Hawks
-1,0-0,6,0,0,9-12,4-5,33,J.  Teague,1,3,22,PG,1,2,2,"December 30, 2011",311230001,1,Hawks
-2,2-4,1,0,0,6-13,7-8,34,J.  Johnson,1,1,21,SG,1,0,0,"December 30, 2011",311230001,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,I.  Johnson,0,0,0,PF,0,0,0,"December 30, 2011",311230001,0,Hawks
+12,1-3,0,1,2,2-4,0-0,13,V.  Radmanovic,0,2,5,SF,2,0,2,"December 30, 2011",311230001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"December 30, 2011",311230001,0,Hawks
+14,0-0,2,1,5,3-6,5-6,23,Z.  Pachulia,3,1,11,C,8,1,2,"December 30, 2011",311230001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"December 30, 2011",311230001,0,Hawks
-1,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"December 30, 2011",311230001,0,Hawks
+8,0-3,5,0,4,1-5,2-2,15,J.  Pargo,1,2,4,PG,5,0,2,"December 30, 2011",311230001,0,Hawks
-5,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"December 30, 2011",311230001,0,Hawks
+9,0-1,0,0,1,2-5,0-1,14,W.  Green,1,0,4,SG,2,0,0,"December 30, 2011",311230001,0,Hawks
+6,0-0,1,0,2,2-5,2-3,23,T.  McGrady,0,0,6,SG,2,1,0,"December 30, 2011",311230001,0,Hawks
-17,0-1,2,1,7,5-13,4-8,32,J.  Smith,0,1,14,PF,7,0,2,"December 31, 2011",311231010,1,Hawks
-14,1-2,0,1,3,3-7,2-2,21,M.  Williams,1,2,9,PF,4,0,0,"December 31, 2011",311231010,1,Hawks
-19,0-0,2,1,5,6-11,3-4,31,A.  Horford,1,1,15,PF,6,0,2,"December 31, 2011",311231010,1,Hawks
-3,0-0,5,0,3,3-7,0-0,30,J.  Teague,0,1,6,PG,3,0,2,"December 31, 2011",311231010,1,Hawks
-18,1-5,3,2,3,7-15,0-0,35,J.  Johnson,1,2,15,SG,4,1,1,"December 31, 2011",311231010,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,I.  Johnson,0,0,0,PF,0,0,0,"December 31, 2011",311231010,0,Hawks
+6,0-3,1,1,1,0-5,0-0,15,V.  Radmanovic,0,1,0,SF,1,1,0,"December 31, 2011",311231010,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"December 31, 2011",311231010,0,Hawks
+6,0-0,1,0,2,1-2,1-2,12,Z.  Pachulia,1,2,3,C,3,1,1,"December 31, 2011",311231010,0,Hawks
+2,0-0,0,0,0,0-0,0-0,5,J.  Collins,0,1,0,C,0,0,0,"December 31, 2011",311231010,0,Hawks
+10,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"December 31, 2011",311231010,0,Hawks
-4,0-1,1,0,2,2-4,0-0,16,J.  Pargo,0,1,4,PG,2,0,2,"December 31, 2011",311231010,0,Hawks
+14,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"December 31, 2011",311231010,0,Hawks
-1,1-2,0,0,2,2-5,0-0,17,W.  Green,2,1,5,SG,4,1,1,"December 31, 2011",311231010,0,Hawks
+7,1-2,1,0,6,6-11,0-0,25,T.  McGrady,0,1,13,SG,6,0,1,"December 31, 2011",311231010,0,Hawks
+12,0-0,0,0,5,9-19,3-4,31,L.  Scola,2,3,21,PF,7,2,3,"December 31, 2011",311231010,1,Rockets
+18,3-4,1,1,2,7-10,0-0,31,C.  Budinger,0,3,17,SF,2,1,0,"December 31, 2011",311231010,1,Rockets
+10,0-0,1,1,11,5-8,1-2,28,J.  Hill,4,3,11,C,15,1,1,"December 31, 2011",311231010,1,Rockets
+15,0-3,18,1,6,0-6,2-2,42,K.  Lowry,0,3,2,PG,6,2,6,"December 31, 2011",311231010,1,Rockets
+14,6-11,3,0,3,9-20,3-3,40,K.  Martin,0,3,27,SG,3,0,0,"December 31, 2011",311231010,1,Rockets
-1,0-0,1,1,1,3-5,0-0,17,P.  Patterson,0,1,6,PF,1,0,0,"December 31, 2011",311231010,0,Rockets
+0,0-0,0,0,0,0-0,0-0,0,M.  Morris,0,0,0,PF,0,0,0,"December 31, 2011",311231010,0,Rockets
-7,0-0,0,0,0,0-0,0-0,0,J.  Adrien,0,0,0,SF,0,0,0,"December 31, 2011",311231010,0,Rockets
+0,0-0,0,0,0,0-0,0-0,0,C.  Parsons,0,0,0,SF,0,0,0,"December 31, 2011",311231010,0,Rockets
+1,0-0,1,1,5,3-6,1-2,20,S.  Dalembert,5,1,7,C,10,0,1,"December 31, 2011",311231010,0,Rockets
-7,0-0,0,0,0,0-0,0-0,0,H.  Thabeet,0,0,0,C,0,0,0,"December 31, 2011",311231010,0,Rockets
+0,0-0,0,0,0,0-0,0-0,0,J.  Flynn,0,0,0,PG,0,0,0,"December 31, 2011",311231010,0,Rockets
-7,0-1,0,0,0,1-5,0-0,13,G.  Dragic,0,1,2,PG,0,0,1,"December 31, 2011",311231010,0,Rockets
+0,0-0,0,0,0,0-0,0-0,0,T.  Williams,0,0,0,SG,0,0,0,"December 31, 2011",311231010,0,Rockets
-7,0-0,1,1,1,1-3,0-0,17,C.  Lee,0,0,2,SG,1,1,0,"December 31, 2011",311231010,0,Rockets
+6,0-0,3,2,5,4-12,1-2,28,J.  Smith,1,4,9,PF,6,1,2,"January 2, 2012",320102014,1,Hawks
+1,0-1,1,0,3,4-6,0-0,22,M.  Williams,0,2,8,PF,3,0,0,"January 2, 2012",320102014,1,Hawks
+0,0-0,2,2,6,6-9,4-4,39,A.  Horford,3,2,16,PF,9,1,1,"January 2, 2012",320102014,1,Hawks
+8,1-2,5,0,1,7-11,0-0,35,J.  Teague,0,3,15,PG,1,4,2,"January 2, 2012",320102014,1,Hawks
+2,3-5,1,0,3,8-16,2-3,38,J.  Johnson,2,3,21,SG,5,0,2,"January 2, 2012",320102014,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,I.  Johnson,0,0,0,PF,0,0,0,"January 2, 2012",320102014,0,Hawks
+2,0-1,3,1,3,0-5,0-0,20,V.  Radmanovic,1,1,0,SF,4,2,1,"January 2, 2012",320102014,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"January 2, 2012",320102014,0,Hawks
+8,0-0,0,0,1,2-5,2-2,9,Z.  Pachulia,2,4,6,C,3,0,1,"January 2, 2012",320102014,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"January 2, 2012",320102014,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"January 2, 2012",320102014,0,Hawks
+0,2-3,0,0,1,3-5,0-0,13,J.  Pargo,0,2,8,PG,1,1,0,"January 2, 2012",320102014,0,Hawks
-7,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"January 2, 2012",320102014,0,Hawks
+6,0-1,0,0,1,0-5,1-2,10,W.  Green,0,0,1,SG,1,0,0,"January 2, 2012",320102014,0,Hawks
+7,3-3,4,0,6,5-8,3-7,26,T.  McGrady,1,0,16,SG,7,1,1,"January 2, 2012",320102014,0,Hawks
-11,0-3,1,0,6,8-18,3-4,38,C.  Bosh,0,3,19,PF,6,1,1,"January 2, 2012",320102014,1,Heat
+0,0-0,0,0,3,1-1,0-0,18,J.  Anthony,3,0,2,PF,6,0,0,"January 2, 2012",320102014,1,Heat
-1,0-0,6,0,5,11-18,6-9,39,L.  James,2,1,28,SF,7,0,4,"January 2, 2012",320102014,1,Heat
+8,1-2,3,1,2,2-5,1-1,27,M.  Chalmers,1,2,6,PG,3,1,5,"January 2, 2012",320102014,1,Heat
-7,0-1,10,1,3,4-17,4-6,39,D.  Wade,0,1,12,SG,3,3,3,"January 2, 2012",320102014,1,Heat
-13,0-0,0,0,8,1-3,2-4,30,U.  Haslem,2,3,4,PF,10,0,0,"January 2, 2012",320102014,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,J.  Howard,0,0,0,PF,0,0,0,"January 2, 2012",320102014,0,Heat
-9,3-4,2,1,2,3-4,2-3,24,S.  Battier,0,4,11,SF,2,0,1,"January 2, 2012",320102014,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,D.  Pittman,0,0,0,C,0,0,0,"January 2, 2012",320102014,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,M.  Gladness,0,0,0,C,0,0,0,"January 2, 2012",320102014,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,E.  Curry,0,0,0,C,0,0,0,"January 2, 2012",320102014,0,Heat
-12,1-3,1,0,0,4-7,1-1,18,N.  Cole,0,0,10,PG,0,0,1,"January 2, 2012",320102014,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,T.  Harris,0,0,0,SG,0,0,0,"January 2, 2012",320102014,0,Heat
+5,0-0,0,0,2,0-0,0-0,9,J.  Jones,1,1,0,SG,3,0,1,"January 2, 2012",320102014,0,Heat
+7,0-0,0,0,0,0-0,0-0,0,M.  Miller,0,0,0,SG,0,0,0,"January 2, 2012",320102014,0,Heat
+7,0-1,2,2,11,6-13,3-6,35,J.  Smith,3,0,15,PF,14,1,3,"January 3, 2012",320103004,1,Hawks
+7,0-0,2,0,7,5-10,4-7,33,M.  Williams,1,4,14,PF,8,1,1,"January 3, 2012",320103004,1,Hawks
+5,0-1,2,0,4,7-14,2-4,40,A.  Horford,3,3,16,PF,7,2,1,"January 3, 2012",320103004,1,Hawks
+10,0-1,4,0,1,2-8,3-6,35,J.  Teague,0,3,7,PG,1,1,2,"January 3, 2012",320103004,1,Hawks
+7,2-9,4,0,2,3-17,2-2,40,J.  Johnson,2,2,10,SG,4,3,1,"January 3, 2012",320103004,1,Hawks
+0,0-0,0,0,0,0-0,0-0,0,I.  Johnson,0,0,0,PF,0,0,0,"January 3, 2012",320103004,0,Hawks
-9,1-2,2,1,0,1-4,0-0,13,V.  Radmanovic,1,1,3,SF,1,0,0,"January 3, 2012",320103004,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"January 3, 2012",320103004,0,Hawks
-7,0-0,0,1,1,0-3,0-0,8,Z.  Pachulia,0,0,0,C,1,0,1,"January 3, 2012",320103004,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"January 3, 2012",320103004,0,Hawks
+17,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"January 3, 2012",320103004,0,Hawks
-12,1-1,1,0,1,1-3,0-0,13,J.  Pargo,0,3,3,PG,1,0,0,"January 3, 2012",320103004,0,Hawks
-9,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"January 3, 2012",320103004,0,Hawks
-9,0-0,0,0,1,2-4,0-0,8,W.  Green,0,1,4,SG,1,0,0,"January 3, 2012",320103004,0,Hawks
-9,0-0,2,0,6,1-4,0-0,15,T.  McGrady,0,0,2,SG,6,0,3,"January 3, 2012",320103004,0,Hawks
-15,0-0,0,1,7,5-13,1-2,27,C.  Boozer,2,2,11,PF,9,2,3,"January 3, 2012",320103004,1,Bulls
-18,0-1,1,1,3,2-8,0-0,23,R.  Brewer,1,1,4,SF,4,0,0,"January 3, 2012",320103004,1,Bulls
+4,1-4,2,1,8,7-15,6-8,44,L.  Deng,0,2,21,SF,8,2,2,"January 3, 2012",320103004,1,Bulls
-8,0-0,1,0,3,0-4,2-2,16,J.  Noah,1,4,2,C,4,1,1,"January 3, 2012",320103004,1,Bulls
+2,3-8,7,1,1,8-22,11-13,44,D.  Rose,0,1,30,PG,1,0,2,"January 3, 2012",320103004,1,Bulls
+17,0-0,1,0,1,2-7,0-0,24,T.  Gibson,3,4,4,PF,4,0,1,"January 3, 2012",320103004,0,Bulls
+0,0-0,0,0,0,0-0,0-0,0,B.  Scalabrine,0,0,0,PF,0,0,0,"January 3, 2012",320103004,0,Bulls
+10,0-0,2,3,7,1-3,0-0,28,O.  Asik,2,3,2,C,9,1,3,"January 3, 2012",320103004,0,Bulls
+0,0-1,1,0,0,0-1,0-0,4,J.  Lucas III,0,0,0,PG,0,0,0,"January 3, 2012",320103004,0,Bulls
+0,0-0,0,0,0,0-0,0-0,0,C.J. ,0,0,0,PG,0,0,0,"January 3, 2012",320103004,0,Bulls
+0,0-0,0,0,0,0-0,0-0,1,J.  Butler,0,0,0,SG,0,0,0,"January 3, 2012",320103004,0,Bulls
+18,0-3,1,1,6,1-4,0-1,29,K.  Korver,2,4,2,SG,8,1,2,"January 3, 2012",320103004,0,Bulls
+0,0-0,0,0,0,0-0,0-0,0,R.  Hamilton,0,0,0,SG,0,0,0,"January 3, 2012",320103004,0,Bulls
+13,1-3,5,2,13,14-27,4-4,47,C.  Bosh,1,5,33,PF,14,2,7,"January 5, 2012",320105001,1,Heat
+7,0-0,0,0,2,1-1,1-1,19,J.  Anthony,0,1,3,PF,2,0,1,"January 5, 2012",320105001,1,Heat
+17,2-5,2,1,3,3-10,1-2,49,S.  Battier,1,5,9,SF,4,0,0,"January 5, 2012",320105001,1,Heat
+24,3-11,8,1,6,10-21,6-6,49,M.  Chalmers,1,4,29,PG,7,3,4,"January 5, 2012",320105001,1,Heat
+6,1-4,0,0,1,2-7,0-1,28,J.  Jones,0,2,5,SG,1,1,1,"January 5, 2012",320105001,1,Heat
-10,0-0,1,0,7,6-16,2-2,47,U.  Haslem,4,5,14,PF,11,0,1,"January 5, 2012",320105001,0,Heat
+0,0-0,0,0,0,0-0,0-0,1,J.  Howard,0,1,0,PF,0,0,0,"January 5, 2012",320105001,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,L.  James,0,0,0,SF,0,0,0,"January 5, 2012",320105001,0,Heat
-4,0-0,0,2,3,2-3,1-2,12,D.  Pittman,0,4,5,C,3,0,1,"January 5, 2012",320105001,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,M.  Gladness,0,0,0,C,0,0,0,"January 5, 2012",320105001,0,Heat
-3,0-0,0,0,0,0-0,0-0,0,E.  Curry,0,0,0,C,0,0,0,"January 5, 2012",320105001,0,Heat
-12,0-0,5,0,0,4-8,1-1,20,N.  Cole,0,3,9,PG,0,0,4,"January 5, 2012",320105001,0,Heat
-6,1-5,4,0,7,3-9,2-4,44,T.  Harris,7,5,9,SG,14,0,2,"January 5, 2012",320105001,0,Heat
+0,0-0,0,0,0,0-0,0-0,0,D.  Wade,0,0,0,SG,0,0,0,"January 5, 2012",320105001,0,Heat
+12,0-0,0,0,0,0-0,0-0,0,M.  Miller,0,0,0,SG,0,0,0,"January 5, 2012",320105001,0,Heat
-2,0-1,3,1,8,6-17,5-9,42,J.  Smith,5,3,17,PF,13,1,1,"January 5, 2012",320105001,1,Hawks
-23,1-2,0,0,5,2-10,2-2,29,M.  Williams,2,1,7,PF,7,0,1,"January 5, 2012",320105001,1,Hawks
-11,0-0,2,1,7,5-7,0-0,40,A.  Horford,4,6,10,PF,11,0,4,"January 5, 2012",320105001,1,Hawks
-4,0-4,7,1,2,1-12,4-8,47,J.  Teague,0,0,6,PG,2,5,2,"January 5, 2012",320105001,1,Hawks
-10,1-7,3,0,2,7-20,5-6,49,J.  Johnson,0,4,20,SG,2,1,2,"January 5, 2012",320105001,1,Hawks
+17,0-0,0,0,2,5-7,3-5,21,I.  Johnson,2,6,13,PF,4,1,5,"January 5, 2012",320105001,0,Hawks
-9,0-4,1,0,1,0-4,5-6,9,V.  Radmanovic,1,1,5,SF,2,0,0,"January 5, 2012",320105001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Stackhouse,0,0,0,SF,0,0,0,"January 5, 2012",320105001,0,Hawks
+1,0-0,0,0,2,0-2,0-0,12,Z.  Pachulia,0,1,0,C,2,0,1,"January 5, 2012",320105001,0,Hawks
-3,0-0,0,0,0,0-0,0-0,4,J.  Collins,0,1,0,C,0,0,0,"January 5, 2012",320105001,0,Hawks
-4,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"January 5, 2012",320105001,0,Hawks
-3,1-1,1,0,1,1-1,0-0,9,J.  Pargo,0,0,3,PG,1,0,0,"January 5, 2012",320105001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"January 5, 2012",320105001,0,Hawks
+0,2-2,0,0,0,5-6,2-2,22,W.  Green,0,1,14,SG,0,1,0,"January 5, 2012",320105001,0,Hawks
+12,1-1,5,2,6,4-8,5-8,30,T.  McGrady,1,0,14,SG,7,1,1,"January 5, 2012",320105001,0,Hawks
+2,0-0,2,2,9,11-18,1-3,40,J.  Smith,4,3,23,PF,13,3,3,"January 6, 2012",320106030,1,Hawks
-6,2-5,1,0,5,6-16,1-2,32,M.  Williams,4,2,15,PF,9,1,0,"January 6, 2012",320106030,1,Hawks
+8,0-0,2,1,5,5-12,5-5,43,A.  Horford,2,1,15,PF,7,1,3,"January 6, 2012",320106030,1,Hawks
+0,1-2,9,0,1,3-10,0-0,41,J.  Teague,0,4,7,PG,1,0,3,"January 6, 2012",320106030,1,Hawks
