+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
+10,0-1,3,1,5,2-7,1-2,17,J.  Smith,1,4,5,PF,6,1,1,"December 27, 2011",311227017,1,Hawks
+15,2-4,3,0,5,3-9,6-7,22,M.  Williams,4,1,14,PF,9,2,1,"December 27, 2011",311227017,1,Hawks
+19,0-0,1,1,3,4-6,0-0,24,A.  Horford,1,1,8,PF,4,1,0,"December 27, 2011",311227017,1,Hawks
+18,3-4,3,0,3,5-7,0-0,24,J.  Teague,0,1,13,PG,3,0,2,"December 27, 2011",311227017,1,Hawks
+19,1-3,1,0,2,4-11,2-2,26,J.  Johnson,0,0,11,SG,2,1,0,"December 27, 2011",311227017,1,Hawks
+3,0-0,1,0,3,1-2,0-0,6,I.  Johnson,1,1,2,PF,4,0,0,"December 27, 2011",311227017,0,Hawks
+24,3-5,5,0,3,5-9,4-4,27,V.  Radmanovic,0,1,17,SF,3,4,1,"December 27, 2011",311227017,0,Hawks
+3,0-1,1,0,1,0-1,0-0,6,J.  Stackhouse,0,0,0,SF,1,0,0,"December 27, 2011",311227017,0,Hawks
+16,0-0,1,0,3,5-8,3-3,21,Z.  Pachulia,8,4,13,C,11,0,3,"December 27, 2011",311227017,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"December 27, 2011",311227017,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,D.  Sloan,0,0,0,PG,0,0,0,"December 27, 2011",311227017,0,Hawks
+18,2-3,3,0,3,2-6,0-0,24,J.  Pargo,0,5,6,PG,3,1,3,"December 27, 2011",311227017,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,K.  Hinrich,0,0,0,SG,0,0,0,"December 27, 2011",311227017,0,Hawks
+17,1-2,1,1,1,2-10,0-1,22,W.  Green,2,4,5,SG,3,0,0,"December 27, 2011",311227017,0,Hawks
+18,0-0,0,1,2,5-10,2-2,20,T.  McGrady,0,1,12,SG,2,1,1,"December 27, 2011",311227017,0,Hawks
-18,0-0,0,1,3,4-8,3-4,25,K.  Humphries,3,2,11,PF,6,1,0,"December 27, 2011",311227017,1,Nets
-24,0-0,0,0,3,0-4,0-0,24,D.  James,0,2,0,SF,3,1,4,"December 27, 2011",311227017,1,Nets
-18,0-0,0,1,3,0-2,0-0,15,J.  Petro,0,2,0,C,3,0,0,"December 27, 2011",311227017,1,Nets
-22,2-3,1,0,2,3-11,2-2,25,D.  Williams,1,2,10,PG,3,0,6,"December 27, 2011",311227017,1,Nets
-13,1-3,0,0,1,1-5,0-0,13,A.  Morrow,0,2,3,SG,1,1,1,"December 27, 2011",311227017,1,Nets
