+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
--,0-0,2,0,7,1-6,1-2,36,A.  Horford,4,2,3,PF,11,1,5,"November 4, 2007",271104008,1,Hawks
--,0-1,3,0,0,2-7,2-2,26,T.  Lue,1,0,6,PG,1,0,1,"November 4, 2007",271104008,1,Hawks
--,2-5,4,0,4,9-17,3-4,40,J.  Johnson,1,2,23,SG,5,0,1,"November 4, 2007",271104008,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 4, 2007",271104008,0,Hawks
--,0-0,1,2,1,3-5,1-1,25,J.  Childress,0,2,7,SF,1,2,0,"November 4, 2007",271104008,0,Hawks
--,0-0,1,0,6,1-2,4-6,14,S.  Williams,1,2,6,C,7,0,1,"November 4, 2007",271104008,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,Z.  Pachulia,0,0,0,C,0,0,0,"November 4, 2007",271104008,0,Hawks
--,1-1,0,0,0,5-6,0-0,22,A.  Law,0,1,11,PG,0,2,4,"November 4, 2007",271104008,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 4, 2007",271104008,0,Hawks
,,,,,,,Did not play,S.  Jones,,,,PF,,,,"November 4, 2007",271104008,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 4, 2007",271104008,0,Hawks
,,,,,,,Did not play,M.  West,,,,SG,,,,"November 4, 2007",271104008,0,Hawks
,,,,,,,Did not play,S.  Stoudamire,,,,SG,,,,"November 4, 2007",271104008,0,Hawks
--,0-3,5,3,5,3-12,2-4,37,R.  Wallace,1,3,8,PF,6,1,0,"November 4, 2007",271104008,1,Pistons
--,0-0,4,0,7,2-2,0-0,29,A.  McDyess,2,4,4,PF,9,1,1,"November 4, 2007",271104008,1,Pistons
--,1-3,4,1,5,2-9,3-4,36,T.  Prince,0,1,8,SF,5,0,2,"November 4, 2007",271104008,1,Pistons
--,3-6,5,2,2,7-17,5-6,36,C.  Billups,1,0,22,PG,3,4,3,"November 4, 2007",271104008,1,Pistons
--,0-0,5,0,1,10-15,1-1,34,R.  Hamilton,3,6,21,SG,4,1,2,"November 4, 2007",271104008,1,Pistons
--,0-0,2,4,4,7-11,1-2,26,J.  Maxiell,4,1,15,PF,8,1,1,"November 4, 2007",271104008,0,Pistons
--,0-2,0,0,0,4-7,0-0,20,J.  Hayes,1,2,8,SF,1,1,1,"November 4, 2007",271104008,0,Pistons
--,0-0,0,0,0,0-0,0-0,0,R.  Dupree,0,0,0,SF,0,0,0,"November 4, 2007",271104008,0,Pistons
--,0-0,0,0,0,0-1,0-0,4,N.  Mohammed,0,1,0,C,0,0,1,"November 4, 2007",271104008,0,Pistons
--,0-0,0,0,0,0-0,0-0,0,C.  Samb,0,0,0,C,0,0,0,"November 4, 2007",271104008,0,Pistons
--,0-0,0,0,0,0-0,0-0,0,R.  Stuckey,0,0,0,PG,0,0,0,"November 4, 2007",271104008,0,Pistons
--,0-0,1,0,0,2-6,2-4,12,R.  Murray,1,1,6,SG,1,1,2,"November 4, 2007",271104008,0,Pistons
--,0-0,0,0,0,0-1,0-0,6,A.  Afflalo,0,1,0,SG,0,0,1,"November 4, 2007",271104008,0,Pistons
,,,,,,,Did not play,A.  Johnson,,,,C,,,,"November 4, 2007",271104008,0,Pistons
,,,,,,,Did not play,L.  Hunter,,,,SG,,,,"November 4, 2007",271104008,0,Pistons
--,2-2,6,4,7,6-14,4-7,36,J.  Smith,0,4,18,PF,7,5,3,"November 6, 2007",271106017,1,Hawks
--,0-0,1,0,1,3-6,7-8,26,M.  Williams,0,5,13,PF,1,1,2,"November 6, 2007",271106017,1,Hawks
--,0-0,1,2,6,3-6,0-4,29,A.  Horford,1,2,6,PF,7,4,3,"November 6, 2007",271106017,1,Hawks
--,1-3,0,0,4,1-5,4-5,25,A.  Law,0,1,7,PG,4,0,4,"November 6, 2007",271106017,1,Hawks
--,2-6,4,0,2,6-16,1-1,37,J.  Johnson,0,3,15,SG,2,0,3,"November 6, 2007",271106017,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Jones,0,0,0,PF,0,0,0,"November 6, 2007",271106017,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 6, 2007",271106017,0,Hawks
--,1-2,0,0,4,5-8,7-7,37,J.  Childress,3,2,18,SF,7,0,2,"November 6, 2007",271106017,0,Hawks
--,0-0,0,1,2,0-2,0-0,19,S.  Williams,3,4,0,C,5,1,0,"November 6, 2007",271106017,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,Z.  Pachulia,0,0,0,C,0,0,0,"November 6, 2007",271106017,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 6, 2007",271106017,0,Hawks
--,1-5,3,0,1,1-10,0-0,25,T.  Lue,0,1,3,PG,1,1,2,"November 6, 2007",271106017,0,Hawks
--,0-0,0,0,0,1-1,0-0,6,M.  West,1,2,2,SG,1,0,0,"November 6, 2007",271106017,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 6, 2007",271106017,0,Hawks
,,,,,,,Did not play,S.  Stoudamire,,,,SG,,,,"November 6, 2007",271106017,0,Hawks
--,0-2,1,0,2,8-15,9-10,36,R.  Jefferson,2,3,25,SF,4,1,4,"November 6, 2007",271106017,1,Nets
--,0-0,0,0,1,1-3,0-0,26,J.  Collins,3,2,2,C,4,0,0,"November 6, 2007",271106017,1,Nets
--,0-0,0,0,4,3-9,2-2,19,N.  Krstic,1,3,8,C,5,0,0,"November 6, 2007",271106017,1,Nets
--,1-5,12,1,7,4-10,0-2,35,J.  Kidd,2,0,9,PG,9,3,6,"November 6, 2007",271106017,1,Nets
--,0-3,5,0,3,6-16,0-0,36,V.  Carter,1,2,12,SG,4,1,1,"November 6, 2007",271106017,1,Nets
--,0-0,0,0,1,1-2,0-0,6,M.  Allen,0,3,2,PF,1,0,1,"November 6, 2007",271106017,0,Nets
--,1-1,3,1,2,3-6,0-0,23,B.  Nachbar,0,3,7,SF,2,0,1,"November 6, 2007",271106017,0,Nets
--,1-4,2,1,5,6-12,2-2,32,A.  Wright,2,3,15,SF,7,2,0,"November 6, 2007",271106017,0,Nets
--,0-0,3,2,6,0-2,2-2,14,J.  Magloire,1,1,2,C,7,0,1,"November 6, 2007",271106017,0,Nets
--,1-2,2,0,2,2-3,0-2,14,D.  Armstrong,0,3,5,PG,2,1,3,"November 6, 2007",271106017,0,Nets
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,PG,0,0,0,"November 6, 2007",271106017,0,Nets
,,,,,,,Did not play,J.  Boone,,,,PF,,,,"November 6, 2007",271106017,0,Nets
,,,,,,,Did not play,S.  Williams,,,,PF,,,,"November 6, 2007",271106017,0,Nets
--,1-2,2,2,6,3-12,6-7,41,G.  Hill,3,1,13,SF,9,1,0,"November 7, 2007",271107001,1,Suns
--,0-0,2,0,3,2-7,3-4,37,B.  Diaw,1,3,7,C,4,0,2,"November 7, 2007",271107001,1,Suns
--,7-10,11,0,5,12-19,3-3,38,S.  Nash,0,4,34,PG,5,0,6,"November 7, 2007",271107001,1,Suns
--,2-6,1,0,3,3-9,2-2,41,R.  Bell,1,4,10,SG,4,2,2,"November 7, 2007",271107001,1,Suns
--,0-2,3,1,11,10-22,0-0,41,S.  Marion,3,2,20,SG,14,2,2,"November 7, 2007",271107001,1,Suns
--,0-0,0,0,1,0-0,0-0,5,B.  Skinner,0,2,0,PF,1,0,0,"November 7, 2007",271107001,0,Suns
--,0-0,0,0,0,0-0,0-0,6,S.  Marks,0,1,0,PF,0,0,0,"November 7, 2007",271107001,0,Suns
--,0-0,0,0,0,0-0,0-0,0,A.  Stoudemire,0,0,0,C,0,0,0,"November 7, 2007",271107001,0,Suns
--,0-1,0,0,0,0-3,0-0,4,M.  Banks,0,0,0,PG,0,0,0,"November 7, 2007",271107001,0,Suns
--,1-6,2,0,1,5-14,1-1,28,L.  Barbosa,2,1,12,SG,3,0,2,"November 7, 2007",271107001,0,Suns
,,,,,,,Did not play,A.  Tucker,,,,SF,,,,"November 7, 2007",271107001,0,Suns
,,,,,,,Did not play,D.J. ,,,,SG,,,,"November 7, 2007",271107001,0,Suns
,,,,,,,Did not play,E.  Piatkowski,,,,SG,,,,"November 7, 2007",271107001,0,Suns
--,0-1,4,5,6,9-19,4-5,40,J.  Smith,4,3,22,PF,10,4,2,"November 7, 2007",271107001,1,Hawks
--,0-1,3,0,10,10-15,0-0,42,M.  Williams,2,1,20,PF,12,1,2,"November 7, 2007",271107001,1,Hawks
--,0-0,0,2,11,3-5,2-2,28,A.  Horford,4,2,8,PF,15,1,5,"November 7, 2007",271107001,1,Hawks
--,0-2,1,0,0,3-7,0-2,24,A.  Law,1,4,6,PG,1,1,1,"November 7, 2007",271107001,1,Hawks
--,0-5,10,0,4,3-17,9-10,39,J.  Johnson,0,4,15,SG,4,2,5,"November 7, 2007",271107001,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 7, 2007",271107001,0,Hawks
--,1-1,2,0,5,7-14,4-4,30,J.  Childress,5,4,19,SF,10,2,0,"November 7, 2007",271107001,0,Hawks
--,0-0,0,0,3,0-2,0-0,6,S.  Williams,0,1,0,C,3,0,0,"November 7, 2007",271107001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,Z.  Pachulia,0,0,0,C,0,0,0,"November 7, 2007",271107001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 7, 2007",271107001,0,Hawks
--,1-2,0,0,0,2-5,0-0,11,T.  Lue,0,1,5,PG,0,0,0,"November 7, 2007",271107001,0,Hawks
--,0-0,0,0,0,0-0,0-0,2,M.  West,1,1,0,SG,1,0,0,"November 7, 2007",271107001,0,Hawks
--,2-4,2,1,0,4-6,0-0,18,S.  Stoudamire,0,0,10,SG,0,0,1,"November 7, 2007",271107001,0,Hawks
,,,,,,,Did not play,S.  Jones,,,,PF,,,,"November 7, 2007",271107001,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 7, 2007",271107001,0,Hawks
--,0-2,4,2,4,3-13,2-4,33,J.  Smith,1,4,8,PF,5,1,4,"November 9, 2007",271109002,1,Hawks
--,0-0,0,0,0,6-9,2-3,28,M.  Williams,1,5,14,PF,1,0,1,"November 9, 2007",271109002,1,Hawks
--,0-0,1,1,3,5-12,6-8,35,A.  Horford,4,1,16,PF,7,2,2,"November 9, 2007",271109002,1,Hawks
--,0-0,5,0,1,3-5,1-1,26,A.  Law,1,1,7,PG,2,1,2,"November 9, 2007",271109002,1,Hawks
--,3-5,5,1,1,6-14,1-1,37,J.  Johnson,0,3,16,SG,1,5,3,"November 9, 2007",271109002,1,Hawks
--,0-0,0,2,0,0-0,0-0,4,S.  Jones,0,0,0,PF,0,0,0,"November 9, 2007",271109002,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 9, 2007",271109002,0,Hawks
--,1-1,0,0,6,3-6,0-0,34,J.  Childress,1,2,7,SF,7,0,3,"November 9, 2007",271109002,0,Hawks
--,0-0,0,0,2,0-0,1-2,9,S.  Williams,0,2,1,C,2,0,1,"November 9, 2007",271109002,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,Z.  Pachulia,0,0,0,C,0,0,0,"November 9, 2007",271109002,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 9, 2007",271109002,0,Hawks
--,1-1,1,0,2,3-7,2-2,19,T.  Lue,0,3,9,PG,2,0,0,"November 9, 2007",271109002,0,Hawks
--,0-0,0,0,1,0-0,0-0,4,M.  West,0,1,0,SG,1,0,2,"November 9, 2007",271109002,0,Hawks
--,0-2,1,0,1,1-4,3-4,11,S.  Stoudamire,0,1,5,SG,1,0,1,"November 9, 2007",271109002,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 9, 2007",271109002,0,Hawks
--,0-0,6,2,16,12-16,3-4,38,K.  Garnett,3,3,27,PF,19,1,6,"November 9, 2007",271109002,1,Celtics
--,1-3,4,0,3,8-15,6-7,37,P.  Pierce,0,1,23,SF,3,1,5,"November 9, 2007",271109002,1,Celtics
--,0-0,1,4,4,1-2,2-4,30,K.  Perkins,3,2,4,C,7,2,3,"November 9, 2007",271109002,1,Celtics
--,0-0,7,0,1,3-7,0-0,29,R.  Rondo,0,1,6,PG,1,3,0,"November 9, 2007",271109002,1,Celtics
--,1-2,3,0,1,6-9,1-2,35,R.  Allen,1,3,14,SG,2,1,1,"November 9, 2007",271109002,1,Celtics
--,0-0,1,0,1,0-0,3-4,4,G.  Davis,0,1,3,PF,1,0,0,"November 9, 2007",271109002,0,Celtics
--,0-0,0,0,0,1-4,0-0,2,L.  Powe,1,0,2,PF,1,0,0,"November 9, 2007",271109002,0,Celtics
--,0-0,1,0,3,0-0,0-0,18,B.  Scalabrine,0,2,0,PF,3,0,1,"November 9, 2007",271109002,0,Celtics
--,0-0,0,0,0,0-0,0-0,0,J.  Posey,0,0,0,SF,0,0,0,"November 9, 2007",271109002,0,Celtics
--,0-0,1,0,0,2-2,0-0,3,G.  Pruitt,0,0,4,PG,0,0,0,"November 9, 2007",271109002,0,Celtics
--,0-0,1,0,0,1-3,2-2,17,T.  Allen,0,4,4,SG,0,0,1,"November 9, 2007",271109002,0,Celtics
--,4-5,5,0,2,7-10,1-2,26,E.  House,0,3,19,SG,2,0,1,"November 9, 2007",271109002,0,Celtics
--,0-0,0,0,0,0-0,0-0,0,B.  Wallace,0,0,0,ce,0,0,0,"November 9, 2007",271109002,0,Celtics
,,,,,,,Did not play,S.  Pollard,,,,C,,,,"November 9, 2007",271109002,0,Celtics
--,3-7,2,0,10,8-18,4-4,41,A.  Jamison,5,3,23,PF,15,0,0,"November 11, 2007",271111001,1,Wizards
--,0-2,8,0,4,9-20,6-6,42,C.  Butler,2,5,24,SF,6,1,3,"November 11, 2007",271111001,1,Wizards
--,0-0,0,1,6,6-10,1-1,31,B.  Haywood,6,5,13,C,12,0,1,"November 11, 2007",271111001,1,Wizards
--,0-4,6,0,4,5-15,8-12,39,G.  Arenas,0,2,18,PG,4,3,4,"November 11, 2007",271111001,1,Wizards
--,2-3,3,0,4,4-6,1-2,24,D.  Stevenson,0,1,11,SG,4,0,1,"November 11, 2007",271111001,1,Wizards
--,0-0,2,0,2,4-7,0-0,25,D.  Songaila,2,4,8,PF,4,0,1,"November 11, 2007",271111001,0,Wizards
--,0-0,0,0,0,0-0,0-0,0,E.  Thomas,0,0,0,C,0,0,0,"November 11, 2007",271111001,0,Wizards
--,0-0,1,2,3,1-7,0-0,22,A.  Blatche,2,4,2,C,5,0,1,"November 11, 2007",271111001,0,Wizards
--,0-1,4,0,2,1-5,0-0,14,A.  Daniels,1,1,2,PG,3,0,1,"November 11, 2007",271111001,0,Wizards
--,0-0,0,0,0,0-0,0-0,0,R.  Mason J,0,0,0,SG,0,0,0,"November 11, 2007",271111001,0,Wizards
,,,,,,,Did not play,D.  McGuire,,,,PF,,,,"November 11, 2007",271111001,0,Wizards
,,,,,,,Did not play,O.  Pecherov,,,,C,,,,"November 11, 2007",271111001,0,Wizards
,,,,,,,Did not play,N.  Young,,,,SG,,,,"November 11, 2007",271111001,0,Wizards
--,1-3,2,3,4,6-12,10-15,38,J.  Smith,0,3,23,PF,4,1,1,"November 11, 2007",271111001,1,Hawks
--,0-1,6,1,8,6-16,8-10,43,M.  Williams,4,2,20,PF,12,0,1,"November 11, 2007",271111001,1,Hawks
--,0-0,1,2,6,3-5,3-4,35,A.  Horford,4,4,9,PF,10,0,3,"November 11, 2007",271111001,1,Hawks
--,0-2,5,0,1,0-4,0-0,14,A.  Law,0,2,0,PG,1,1,0,"November 11, 2007",271111001,1,Hawks
--,2-11,5,0,3,8-24,4-4,42,J.  Johnson,4,2,22,SG,7,1,0,"November 11, 2007",271111001,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 11, 2007",271111001,0,Hawks
--,0-0,0,0,2,5-6,0-0,36,J.  Childress,0,1,10,SF,2,1,1,"November 11, 2007",271111001,0,Hawks
--,0-0,0,0,0,0-0,0-0,1,S.  Williams,0,0,0,C,0,0,1,"November 11, 2007",271111001,0,Hawks
--,0-0,1,0,3,1-2,0-0,7,Z.  Pachulia,0,2,2,C,3,0,3,"November 11, 2007",271111001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 11, 2007",271111001,0,Hawks
--,0-2,1,0,2,0-4,2-2,19,T.  Lue,0,1,2,PG,2,1,1,"November 11, 2007",271111001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,M.  West,0,0,0,SG,0,0,0,"November 11, 2007",271111001,0,Hawks
--,0-1,0,0,0,1-4,0-0,6,S.  Stoudamire,0,0,2,SG,0,0,0,"November 11, 2007",271111001,0,Hawks
,,,,,,,Did not play,S.  Jones,,,,PF,,,,"November 11, 2007",271111001,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 11, 2007",271111001,0,Hawks
--,3-4,0,2,4,8-18,8-13,42,G.  Wallace,2,4,27,SF,6,0,3,"November 14, 2007",271114001,1,Bobcats
--,0-0,1,2,5,3-8,0-0,34,E.  Okafor,3,5,6,C,8,2,0,"November 14, 2007",271114001,1,Bobcats
--,0-0,1,0,0,0-1,0-0,5,P.  Brezec,0,2,0,C,0,0,0,"November 14, 2007",271114001,1,Bobcats
--,0-0,5,0,0,7-12,2-3,34,R.  Felton,1,3,16,PG,1,2,5,"November 14, 2007",271114001,1,Bobcats
--,3-7,4,0,3,10-19,4-4,38,J.  Richardson,1,2,27,SG,4,3,2,"November 14, 2007",271114001,1,Bobcats
--,0-0,0,0,0,0-0,0-0,0,O.  Harrington,0,0,0,PF,0,0,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,0,0,0,0-0,0-0,2,W.  Heinrich,0,0,0,PF,0,0,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,0,0,0,0-0,0-0,3,J.  Davidson,0,0,0,PF,0,0,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,0,0,0,0-0,0-0,0,A.  Morrison,0,0,0,SF,0,0,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,1,0,0,1-4,4-4,9,J.  Dudley,1,3,6,SF,1,1,1,"November 14, 2007",271114001,0,Bobcats
--,0-0,0,0,0,0-0,0-0,0,S.  May,0,0,0,C,0,0,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,0,2,3,5-7,1-2,25,R.  Hollins,3,1,11,C,6,2,0,"November 14, 2007",271114001,0,Bobcats
--,0-0,6,0,0,4-7,0-1,28,J.  McInnis,1,1,8,PG,1,1,2,"November 14, 2007",271114001,0,Bobcats
--,2-5,1,0,2,3-7,0-0,21,M.  Carroll,0,1,8,SG,2,1,0,"November 14, 2007",271114001,0,Bobcats
,,,,,,,Did not play,D.  Anderson,,,,SG,,,,"November 14, 2007",271114001,0,Bobcats
--,0-1,3,5,2,6-10,3-5,19,J.  Smith,1,2,15,PF,3,1,2,"November 14, 2007",271114001,1,Hawks
--,0-0,1,1,4,9-15,1-2,37,M.  Williams,2,4,19,PF,6,0,1,"November 14, 2007",271114001,1,Hawks
--,0-0,2,0,3,3-8,0-0,18,Z.  Pachulia,1,2,6,C,4,3,3,"November 14, 2007",271114001,1,Hawks
--,0-0,7,0,0,1-2,0-0,23,A.  Law,0,1,2,PG,0,2,0,"November 14, 2007",271114001,1,Hawks
--,2-3,10,0,4,11-18,10-11,44,J.  Johnson,1,1,34,SG,5,1,3,"November 14, 2007",271114001,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Jones,0,0,0,PF,0,0,0,"November 14, 2007",271114001,0,Hawks
--,0-0,3,1,9,5-7,3-4,34,A.  Horford,4,2,13,PF,13,1,4,"November 14, 2007",271114001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 14, 2007",271114001,0,Hawks
--,0-1,1,2,2,9-12,5-5,34,J.  Childress,3,2,23,SF,5,2,1,"November 14, 2007",271114001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 14, 2007",271114001,0,Hawks
--,0-0,2,0,1,1-3,0-0,21,T.  Lue,1,3,2,PG,2,0,2,"November 14, 2007",271114001,0,Hawks
--,0-0,0,0,0,0-1,0-0,2,M.  West,0,0,0,SG,0,0,0,"November 14, 2007",271114001,0,Hawks
--,1-1,0,0,0,1-1,0-0,8,S.  Stoudamire,0,3,3,SG,0,0,0,"November 14, 2007",271114001,0,Hawks
,,,,,,,Did not play,S.  Williams,,,,C,,,,"November 14, 2007",271114001,0,Hawks
,,,,,,,Did not play,A.  Johnson,,,,PG,,,,"November 14, 2007",271114001,0,Hawks
--,0-0,1,0,3,5-14,6-7,43,C.  Wilcox,2,4,16,PF,5,0,3,"November 16, 2007",271116001,1,SuperSonics
--,0-0,2,0,11,5-10,0-0,36,N.  Collison,3,6,10,nF,14,0,0,"November 16, 2007",271116001,1,SuperSonics
--,1-5,2,3,2,8-18,4-4,45,K.  Durant,1,2,21,SF,3,3,4,"November 16, 2007",271116001,1,SuperSonics
--,0-2,9,0,0,6-11,3-3,42,E.  Watson,2,4,15,PG,2,1,2,"November 16, 2007",271116001,1,SuperSonics
--,4-5,2,0,7,15-20,7-10,51,D.  Wilkins,2,2,41,SG,9,2,1,"November 16, 2007",271116001,1,SuperSonics
--,0-0,1,1,3,2-9,0-0,21,J.  Green,1,3,4,SF,4,0,0,"November 16, 2007",271116001,0,SuperSonics
--,0-0,2,0,0,1-2,0-0,6,M.  Gelabale,0,1,2,SF,0,0,0,"November 16, 2007",271116001,0,SuperSonics
--,0-0,0,0,2,1-2,0-0,9,J.  Petro,1,2,2,C,3,0,0,"November 16, 2007",271116001,0,SuperSonics
--,0-0,0,0,0,0-0,0-0,0,R.  Swift,0,0,0,C,0,0,0,"November 16, 2007",271116001,0,SuperSonics
--,0-0,0,0,0,0-0,0-0,0,L.  Ridnour,0,0,0,PG,0,0,0,"November 16, 2007",271116001,0,SuperSonics
--,1-2,1,0,0,4-9,6-7,22,W.  Szczerbiak,0,1,15,SG,0,0,0,"November 16, 2007",271116001,0,SuperSonics
--,0-2,3,0,3,0-4,0-0,16,D.  West,0,3,0,SG,3,0,3,"November 16, 2007",271116001,0,SuperSonics
,,,,,,,Did not play,K.  Thomas,,,,PF,,,,"November 16, 2007",271116001,0,SuperSonics
,,,,,,,Did not play,M.  Sene,,,,C,,,,"November 16, 2007",271116001,0,SuperSonics
--,0-0,4,2,4,6-13,6-8,44,M.  Williams,3,6,18,PF,7,4,2,"November 16, 2007",271116001,1,Hawks
--,0-0,2,5,12,2-8,3-4,53,A.  Horford,2,5,7,PF,14,1,4,"November 16, 2007",271116001,1,Hawks
--,0-0,0,0,2,7-13,0-0,22,Z.  Pachulia,4,2,14,C,6,0,0,"November 16, 2007",271116001,1,Hawks
--,0-1,4,0,1,4-6,0-0,19,T.  Lue,0,1,8,PG,1,0,1,"November 16, 2007",271116001,1,Hawks
--,5-13,6,0,3,15-34,4-5,52,J.  Johnson,2,5,39,SG,5,0,1,"November 16, 2007",271116001,1,Hawks
