+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
--,1-7,2,1,5,2-10,0-0,33,J.  Stackhouse,2,4,5,SF,7,0,1,"November 2, 2007",271102001,1,Mavericks
--,2-7,2,0,8,10-22,6-7,38,D.  Nowitzki,0,2,28,C,8,1,3,"November 2, 2007",271102001,1,Mavericks
--,0-0,0,6,4,2-3,0-0,33,D.  Diop,1,6,4,C,5,0,1,"November 2, 2007",271102001,1,Mavericks
--,0-1,0,0,3,5-8,1-4,14,D.  Harris,0,0,11,PG,3,0,2,"November 2, 2007",271102001,1,Mavericks
--,0-5,3,0,2,1-7,0-0,24,E.  Jones,0,1,2,SG,2,0,0,"November 2, 2007",271102001,1,Mavericks
--,0-0,1,2,3,3-6,4-4,27,B.  Bass,4,3,10,PF,7,0,1,"November 2, 2007",271102001,0,Mavericks
--,0-0,0,0,0,0-0,0-0,0,N.  Fazekas,0,0,0,PF,0,0,0,"November 2, 2007",271102001,0,Mavericks
--,0-0,0,0,1,0-1,0-0,7,J.  Howard,0,3,0,PF,1,0,1,"November 2, 2007",271102001,0,Mavericks
--,0-1,0,0,2,0-4,0-0,22,T.  Hassell,0,2,0,SF,2,0,0,"November 2, 2007",271102001,0,Mavericks
--,0-0,0,0,0,0-0,0-0,0,D.  George,0,0,0,SF,0,0,0,"November 2, 2007",271102001,0,Mavericks
--,0-0,0,0,0,0-0,0-0,0,E.  Dampier,0,0,0,C,0,0,0,"November 2, 2007",271102001,0,Mavericks
--,0-0,0,0,1,5-6,4-4,9,J.J. ,0,1,14,PG,1,0,1,"November 2, 2007",271102001,0,Mavericks
--,1-3,6,1,2,7-13,5-6,33,J.  Terry,0,3,20,SG,2,3,0,"November 2, 2007",271102001,0,Mavericks
,,,,,,,Did not play,M.  Ager,,,,SF,,,,"November 2, 2007",271102001,0,Mavericks
,,,,,,,Did not play,J.  Howard,,,,SF,,,,"November 2, 2007",271102001,0,Mavericks
--,0-4,4,2,10,5-16,8-8,37,J.  Smith,1,3,18,PF,11,3,6,"November 2, 2007",271102001,1,Hawks
--,0-0,3,1,3,5-10,6-8,37,M.  Williams,2,3,16,PF,5,0,0,"November 2, 2007",271102001,1,Hawks
--,0-0,1,1,9,3-4,3-4,23,A.  Horford,1,5,9,PF,10,0,0,"November 2, 2007",271102001,1,Hawks
--,0-0,1,0,1,0-1,0-0,8,A.  Johnson,0,3,0,PG,1,0,1,"November 2, 2007",271102001,1,Hawks
--,1-7,4,0,7,12-22,3-3,46,J.  Johnson,0,0,28,SG,7,1,4,"November 2, 2007",271102001,1,Hawks
--,0-0,0,0,0,0-0,0-0,0,L.  Wright,0,0,0,PF,0,0,0,"November 2, 2007",271102001,0,Hawks
--,0-0,0,0,0,1-6,0-0,19,J.  Childress,6,2,2,SF,6,0,2,"November 2, 2007",271102001,0,Hawks
--,0-0,0,0,7,2-6,2-4,30,S.  Williams,2,3,6,C,9,1,0,"November 2, 2007",271102001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,Z.  Pachulia,0,0,0,C,0,0,0,"November 2, 2007",271102001,0,Hawks
--,0-0,3,0,0,3-4,2-2,14,A.  Law,0,4,8,PG,0,0,2,"November 2, 2007",271102001,0,Hawks
--,0-0,0,0,0,0-0,0-0,0,S.  Claxton,0,0,0,PG,0,0,0,"November 2, 2007",271102001,0,Hawks
--,3-4,4,0,1,5-10,1-2,26,T.  Lue,2,0,14,PG,3,1,0,"November 2, 2007",271102001,0,Hawks
--,0-0,0,0,0,0-0,0-0,1,M.  West,0,0,0,SG,0,0,0,"November 2, 2007",271102001,0,Hawks
,,,,,,,Did not play,S.  Jones,,,,PF,,,,"November 2, 2007",271102001,0,Hawks
,,,,,,,Did not play,S.  Stoudamire,,,,SG,,,,"November 2, 2007",271102001,0,Hawks
--,0-2,2,5,7,4-17,5-5,39,J.  Smith,3,2,13,PF,10,2,5,"November 4, 2007",271104008,1,Hawks
--,1-1,2,0,4,8-12,5-6,39,M.  Williams,2,5,22,PF,6,1,2,"November 4, 2007",271104008,1,Hawks
