+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
-11,2-3,7,0,9,6-9,0-0,37,T.  Murphy,1,1,14,PF,10,0,5,"October 28, 2009",291028001,1,Pacers
-19,5-10,1,1,4,10-18,6-8,34,D.  Granger,0,3,31,SF,4,1,2,"October 28, 2009",291028001,1,Pacers
-16,0-0,3,1,7,3-6,0-0,25,R.  Hibbert,2,3,6,C,9,0,3,"October 28, 2009",291028001,1,Pacers
-7,0-1,3,0,2,1-9,1-2,23,T.J. ,0,1,3,PG,2,0,0,"October 28, 2009",291028001,1,Pacers
-11,0-0,3,0,0,3-3,0-0,19,B.  Rush,0,1,6,SG,0,0,3,"October 28, 2009",291028001,1,Pacers
+3,0-0,0,0,0,0-0,0-0,0,T.  Hansbrough,0,0,0,PF,0,0,0,"October 28, 2009",291028001,0,Pacers
+2,0-0,3,0,4,0-0,2-2,16,J.  Foster,0,5,2,PF,4,0,1,"October 28, 2009",291028001,0,Pacers
+3,0-0,1,2,3,1-3,0-0,18,S.  Jones,1,2,2,PF,4,0,1,"October 28, 2009",291028001,0,Pacers
+0,0-0,0,0,0,0-0,0-0,0,J.  McRoberts,0,0,0,PF,0,0,0,"October 28, 2009",291028001,0,Pacers
+0,0-0,0,0,0,0-0,0-0,0,A.J. ,0,0,0,PG,0,0,0,"October 28, 2009",291028001,0,Pacers
+12,0-1,1,0,1,4-8,0-0,16,L.  Head,0,2,8,PG,1,0,2,"October 28, 2009",291028001,0,Pacers
-7,0-0,0,0,0,0-0,0-0,0,T.  Diener,0,0,0,PG,0,0,0,"October 28, 2009",291028001,0,Pacers
-4,3-3,1,0,1,7-8,3-4,25,E.  Watson,0,4,20,PG,1,0,2,"October 28, 2009",291028001,0,Pacers
-4,0-0,0,0,3,4-9,9-9,26,D.  Jones,2,4,17,SG,5,0,6,"October 28, 2009",291028001,0,Pacers
+12,0-0,0,0,0,0-0,0-0,0,M.  Dunleavy,0,0,0,SG,0,0,0,"October 28, 2009",291028001,0,Pacers
+23,0-0,8,2,3,7-10,4-7,35,J.  Smith,0,4,18,PF,3,5,1,"October 28, 2009",291028001,1,Hawks
+12,1-1,0,2,4,4-8,5-6,31,M.  Williams,0,4,14,PF,4,2,2,"October 28, 2009",291028001,1,Hawks
+15,0-0,4,2,13,11-17,2-3,34,A.  Horford,3,3,24,PF,16,0,1,"October 28, 2009",291028001,1,Hawks
+16,2-3,5,0,4,4-7,0-0,31,M.  Bibby,0,1,10,PG,4,3,2,"October 28, 2009",291028001,1,Hawks
+17,2-5,6,0,0,10-21,3-4,39,J.  Johnson,0,2,25,SG,0,4,4,"October 28, 2009",291028001,1,Hawks
-9,0-0,0,0,0,2-5,1-1,11,J.  Smith,2,2,5,PF,2,0,0,"October 28, 2009",291028001,0,Hawks
