+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,Pos,REB,STL,TO,date,game_id,starter,team
+0,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"October 28, 2009",291028001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"October 28, 2009",291028001,0,Hawks
-7,0-0,0,0,0,1-4,2-4,16,Z.  Pachulia,1,1,4,C,1,0,0,"October 28, 2009",291028001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"October 28, 2009",291028001,0,Hawks
-8,1-1,4,0,2,2-7,0-0,14,J.  Teague,1,2,5,PG,3,1,0,"October 28, 2009",291028001,0,Hawks
-5,1-1,0,0,1,4-5,3-3,15,M.  Evans,1,2,12,SG,2,0,0,"October 28, 2009",291028001,0,Hawks
+1,0-1,3,0,0,1-3,1-1,14,J.  Crawford,0,4,3,SG,0,1,0,"October 28, 2009",291028001,0,Hawks
-7,1-2,1,0,3,2-5,0-0,17,C.  Butler,1,1,5,SF,4,1,1,"October 30, 2009",291030001,1,Wizards
-11,0-0,0,2,6,7-12,5-7,34,B.  Haywood,3,1,19,C,9,0,0,"October 30, 2009",291030001,1,Wizards
+7,0-0,1,0,2,2-2,0-0,18,F.  Oberto,1,3,4,C,3,0,1,"October 30, 2009",291030001,1,Wizards
-11,3-6,4,0,1,9-22,2-4,38,G.  Arenas,1,1,23,PG,2,2,7,"October 30, 2009",291030001,1,Wizards
+7,0-0,5,0,10,3-5,1-2,33,M.  Miller,0,5,7,SG,10,2,2,"October 30, 2009",291030001,1,Wizards
+19,0-0,0,0,0,0-0,0-0,0,A.  Jamison,0,0,0,PF,0,0,0,"October 30, 2009",291030001,0,Wizards
-7,0-0,0,0,0,0-1,0-0,3,D.  McGuire,0,1,0,PF,0,0,0,"October 30, 2009",291030001,0,Wizards
-17,0-0,1,1,6,5-7,3-5,34,A.  Blatche,0,3,13,C,6,0,2,"October 30, 2009",291030001,0,Wizards
-7,0-0,0,0,0,0-0,0-0,0,P.  Davis,0,0,0,C,0,0,0,"October 30, 2009",291030001,0,Wizards
-1,0-0,1,2,1,3-4,1-2,10,J.  McGee,1,2,7,C,2,0,0,"October 30, 2009",291030001,0,Wizards
-17,0-0,0,0,0,0-0,0-0,0,J.  Crittenton,0,0,0,PG,0,0,0,"October 30, 2009",291030001,0,Wizards
+0,0-0,0,0,0,0-0,0-0,0,M.  James,0,0,0,PG,0,0,0,"October 30, 2009",291030001,0,Wizards
-3,1-3,6,0,2,3-12,2-2,30,R.  Foye,0,1,9,SG,2,0,1,"October 30, 2009",291030001,0,Wizards
-3,0-2,0,0,0,0-8,0-0,13,N.  Young,1,1,0,SG,1,0,0,"October 30, 2009",291030001,0,Wizards
-9,0-0,0,0,1,1-1,0-0,11,D.  Stevenson,0,4,2,SG,1,0,0,"October 30, 2009",291030001,0,Wizards
+6,0-0,2,2,4,8-11,4-5,29,J.  Smith,4,4,20,PF,8,0,4,"October 30, 2009",291030001,1,Hawks
+8,1-4,0,0,7,2-7,5-6,32,M.  Williams,2,2,10,PF,9,2,1,"October 30, 2009",291030001,1,Hawks
+4,0-0,0,5,9,4-11,2-2,39,A.  Horford,3,2,10,PF,12,0,1,"October 30, 2009",291030001,1,Hawks
+6,0-4,7,0,5,3-9,0-0,32,M.  Bibby,0,2,6,PG,5,0,1,"October 30, 2009",291030001,1,Hawks
+0,0-2,6,0,5,5-16,7-7,30,J.  Johnson,0,4,17,SG,5,0,2,"October 30, 2009",291030001,1,Hawks
+5,1-2,0,0,4,2-5,2-2,19,J.  Smith,2,4,7,PF,6,0,2,"October 30, 2009",291030001,0,Hawks
+6,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"October 30, 2009",291030001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"October 30, 2009",291030001,0,Hawks
+7,0-0,0,0,0,0-1,4-4,9,Z.  Pachulia,0,4,4,C,0,1,0,"October 30, 2009",291030001,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"October 30, 2009",291030001,0,Hawks
-2,0-1,1,0,1,1-4,0-0,9,J.  Teague,0,0,2,PG,1,0,1,"October 30, 2009",291030001,0,Hawks
+11,2-3,0,0,0,2-3,2-2,17,M.  Evans,0,2,8,SG,0,2,0,"October 30, 2009",291030001,0,Hawks
+10,1-4,2,0,1,5-11,5-6,25,J.  Crawford,0,0,16,SG,1,0,0,"October 30, 2009",291030001,0,Hawks
-10,0-0,7,1,2,3-10,1-1,32,J.  Smith,4,4,7,PF,6,2,5,"November 1, 2009",291101013,1,Hawks
-6,0-2,1,0,2,1-6,4-4,24,M.  Williams,0,1,6,PF,2,0,1,"November 1, 2009",291101013,1,Hawks
+7,0-0,1,1,4,3-8,0-0,31,A.  Horford,5,4,6,PF,9,1,4,"November 1, 2009",291101013,1,Hawks
-10,3-6,1,0,1,5-10,2-2,24,M.  Bibby,0,0,15,PG,1,2,0,"November 1, 2009",291101013,1,Hawks
-5,3-6,4,0,9,8-16,8-10,36,J.  Johnson,0,1,27,SG,9,1,1,"November 1, 2009",291101013,1,Hawks
+5,0-1,2,0,4,3-6,2-2,14,J.  Smith,1,2,8,PF,5,0,0,"November 1, 2009",291101013,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 1, 2009",291101013,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"November 1, 2009",291101013,0,Hawks
-15,0-0,0,0,1,4-7,0-0,16,Z.  Pachulia,2,3,8,C,3,0,2,"November 1, 2009",291101013,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"November 1, 2009",291101013,0,Hawks
+8,1-1,3,0,1,5-7,1-2,17,J.  Teague,0,2,12,PG,1,2,1,"November 1, 2009",291101013,0,Hawks
-9,0-2,1,1,1,2-5,0-0,15,M.  Evans,0,2,4,SG,1,0,1,"November 1, 2009",291101013,0,Hawks
-5,0-5,1,0,1,6-14,5-5,30,J.  Crawford,2,2,17,SG,3,0,4,"November 1, 2009",291101013,0,Hawks
+19,1-2,8,0,10,4-8,2-2,40,L.  Odom,4,2,11,PF,14,1,4,"November 1, 2009",291101013,1,Lakers
+9,1-4,4,3,6,5-12,1-2,40,M.  World Peace,1,3,12,SF,7,0,0,"November 1, 2009",291101013,1,Lakers
+12,1-2,3,0,5,15-29,10-11,38,K.  Bryant,3,4,41,SF,8,5,3,"November 1, 2009",291101013,1,Lakers
+12,0-0,1,2,1,8-14,5-6,37,A.  Bynum,2,1,21,C,3,0,2,"November 1, 2009",291101013,1,Lakers
+10,0-3,3,0,3,3-7,0-0,30,D.  Fisher,0,3,6,PG,3,3,1,"November 1, 2009",291101013,1,Lakers
-8,0-0,0,0,2,3-3,0-0,8,J.  Powell,0,2,6,PF,2,0,1,"November 1, 2009",291101013,0,Lakers
+0,0-0,0,0,0,0-0,0-0,0,A.  Morrison,0,0,0,SF,0,0,0,"November 1, 2009",291101013,0,Lakers
-8,0-1,2,0,2,4-6,0-0,14,L.  Walton,0,1,8,SF,2,1,1,"November 1, 2009",291101013,0,Lakers
-5,0-0,0,0,0,0-0,0-0,0,P.  Gasol,0,0,0,C,0,0,0,"November 1, 2009",291101013,0,Lakers
+0,0-0,0,1,1,1-1,1-2,6,D.  Ilunga-Mbenga,1,1,3,C,2,1,1,"November 1, 2009",291101013,0,Lakers
-1,1-1,0,0,0,1-1,0-0,8,S.  Brown,0,1,3,PG,0,1,1,"November 1, 2009",291101013,0,Lakers
+0,1-2,4,0,1,1-4,2-2,14,J.  Farmar,0,1,5,PG,1,1,1,"November 1, 2009",291101013,0,Lakers
-5,0-0,1,0,0,1-2,0-0,7,S.  Vujacic,0,1,2,SG,0,1,0,"November 1, 2009",291101013,0,Lakers
+9,0-0,4,2,6,6-12,0-3,34,J.  Smith,1,2,12,PF,7,3,1,"November 3, 2009",291103022,1,Hawks
-6,1-2,1,1,4,1-4,4-4,30,M.  Williams,3,0,7,PF,7,0,1,"November 3, 2009",291103022,1,Hawks
+5,0-0,0,1,11,5-12,1-2,36,A.  Horford,2,3,11,PF,13,1,2,"November 3, 2009",291103022,1,Hawks
+8,1-4,5,0,4,3-10,0-0,35,M.  Bibby,0,3,7,PG,4,0,2,"November 3, 2009",291103022,1,Hawks
+4,1-5,3,1,6,9-19,0-0,46,J.  Johnson,2,2,19,SG,8,0,4,"November 3, 2009",291103022,1,Hawks
-5,0-0,0,0,0,1-1,0-0,6,J.  Smith,2,1,2,PF,2,0,0,"November 3, 2009",291103022,0,Hawks
+17,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 3, 2009",291103022,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"November 3, 2009",291103022,0,Hawks
+0,0-0,1,2,2,4-6,4-4,14,Z.  Pachulia,1,2,12,C,3,0,1,"November 3, 2009",291103022,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"November 3, 2009",291103022,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Teague,0,0,0,PG,0,0,0,"November 3, 2009",291103022,0,Hawks
-2,0-0,0,0,0,0-0,0-0,6,M.  Evans,0,2,0,SG,0,0,0,"November 3, 2009",291103022,0,Hawks
+17,2-4,7,0,2,8-16,9-9,34,J.  Crawford,0,0,27,SG,2,0,0,"November 3, 2009",291103022,0,Hawks
-9,0-0,0,0,11,9-17,2-2,40,L.  Aldridge,3,3,20,PF,14,2,1,"November 3, 2009",291103022,1,Trail Blazers
-4,2-4,0,0,1,2-5,2-2,27,M.  Webster,0,1,8,SF,1,1,0,"November 3, 2009",291103022,1,Trail Blazers
-4,0-0,0,0,6,4-6,0-1,16,G.  Oden,3,5,8,C,9,0,3,"November 3, 2009",291103022,1,Trail Blazers
+2,1-4,3,0,1,2-10,0-0,27,S.  Blake,0,1,5,PG,1,0,1,"November 3, 2009",291103022,1,Trail Blazers
-2,1-6,6,0,2,8-19,2-3,42,B.  Roy,0,2,19,SG,2,0,2,"November 3, 2009",291103022,1,Trail Blazers
+0,0-0,0,0,0,0-0,0-0,0,J.  Howard,0,0,0,PF,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
-4,0-0,0,0,0,0-0,0-0,0,J.  Ayres,0,0,0,sF,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
+0,0-0,0,0,0,0-0,0-0,0,D.  Cunningham,0,0,0,SF,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
-8,1-2,0,2,1,7-15,4-4,23,T.  Outlaw,2,2,19,SF,3,1,0,"November 3, 2009",291103022,0,Trail Blazers
+6,0-0,0,2,4,2-2,0-0,19,J.  Przybilla,2,2,4,C,6,1,1,"November 3, 2009",291103022,0,Trail Blazers
+0,0-0,0,0,0,0-0,0-0,0,J.  Bayless,0,0,0,PG,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
+0,0-0,0,0,0,0-0,0-0,0,P.  Mills,0,0,0,PG,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
-13,0-0,11,0,0,1-6,3-4,28,A.  Miller,0,2,5,PG,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
-4,0-0,0,0,0,0-0,0-0,0,N.  Batum,0,0,0,SG,0,0,0,"November 3, 2009",291103022,0,Trail Blazers
+2,1-5,2,0,0,1-5,0-0,18,R.  Fernandez,0,2,3,SG,0,2,0,"November 3, 2009",291103022,0,Trail Blazers
-5,0-0,3,4,6,6-9,2-4,29,J.  Smith,0,5,14,PF,6,0,0,"November 4, 2009",291104023,1,Hawks
+7,1-1,0,1,5,6-9,0-0,31,M.  Williams,1,1,13,PF,6,0,1,"November 4, 2009",291104023,1,Hawks
+16,0-0,1,4,6,3-6,5-6,33,A.  Horford,2,0,11,PF,8,1,1,"November 4, 2009",291104023,1,Hawks
+4,2-5,2,0,4,5-12,1-1,34,M.  Bibby,3,1,13,PG,7,0,2,"November 4, 2009",291104023,1,Hawks
+9,0-4,4,0,6,11-22,4-4,37,J.  Johnson,2,3,26,SG,8,0,6,"November 4, 2009",291104023,1,Hawks
+4,0-0,0,1,2,1-4,0-0,7,J.  Smith,2,1,2,PF,4,0,0,"November 4, 2009",291104023,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 4, 2009",291104023,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,R.  Morris,0,0,0,C,0,0,0,"November 4, 2009",291104023,0,Hawks
-8,0-0,1,0,3,2-3,0-0,15,Z.  Pachulia,0,3,4,C,3,0,1,"November 4, 2009",291104023,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"November 4, 2009",291104023,0,Hawks
+3,0-0,2,0,0,0-1,0-0,5,J.  Teague,0,0,0,PG,0,0,0,"November 4, 2009",291104023,0,Hawks
+2,0-1,0,0,2,2-4,0-0,15,M.  Evans,1,2,4,SG,3,1,1,"November 4, 2009",291104023,0,Hawks
+8,3-5,4,0,1,10-15,3-4,34,J.  Crawford,1,4,26,SG,2,0,4,"November 4, 2009",291104023,0,Hawks
-3,0-0,2,0,4,3-9,0-0,31,S.  Hawes,3,3,6,PF,7,2,1,"November 4, 2009",291104023,1,Kings
-6,0-0,5,1,4,7-15,8-9,40,J.  Thompson,8,4,22,PF,12,2,0,"November 4, 2009",291104023,1,Kings
-3,1-3,2,0,5,5-10,3-6,32,A.  Nocioni,1,2,14,SF,6,1,1,"November 4, 2009",291104023,1,Kings
-11,2-5,2,0,9,11-22,5-6,40,K.  Martin,2,1,29,SG,11,1,0,"November 4, 2009",291104023,1,Kings
+4,0-3,4,0,1,7-21,1-2,39,T.  Evans,2,2,15,SG,3,3,2,"November 4, 2009",291104023,1,Kings
-5,0-0,0,0,0,0-1,0-0,2,J.  Brockman,1,2,0,PF,1,0,0,"November 4, 2009",291104023,0,Kings
-2,0-0,2,0,1,0-2,0-0,8,K.  Thomas,2,1,0,PF,3,1,1,"November 4, 2009",291104023,0,Kings
-6,0-0,0,1,0,2-5,1-2,15,O.  Casspi,0,2,5,SF,0,0,1,"November 4, 2009",291104023,0,Kings
+2,0-0,0,0,0,0-0,0-0,0,D.  Greene,0,0,0,SF,0,0,0,"November 4, 2009",291104023,0,Kings
-6,0-0,0,0,0,0-0,0-0,3,D.  Mason,0,1,0,SF,0,0,0,"November 4, 2009",291104023,0,Kings
+2,0-0,0,0,0,0-0,0-0,6,S.  May,0,0,0,C,0,0,0,"November 4, 2009",291104023,0,Kings
+0,0-0,0,0,0,0-0,0-0,0,S.  Rodriguez,0,0,0,PG,0,0,0,"November 4, 2009",291104023,0,Kings
-4,2-4,1,0,0,5-11,2-2,24,B.  Udrih,0,1,14,PG,0,1,1,"November 4, 2009",291104023,0,Kings
+2,0-0,0,0,0,0-0,0-0,0,F.  Garcia,0,0,0,SG,0,0,0,"November 4, 2009",291104023,0,Kings
-17,0-0,0,3,4,5-13,3-5,24,J.  Smith,3,3,13,PF,7,1,2,"November 6, 2009",291106030,1,Hawks
-14,0-1,0,3,4,3-8,3-4,30,M.  Williams,1,0,9,PF,5,1,0,"November 6, 2009",291106030,1,Hawks
-13,0-0,1,2,4,4-9,2-3,27,A.  Horford,1,2,10,PF,5,1,0,"November 6, 2009",291106030,1,Hawks
-8,0-2,3,0,3,1-5,0-0,20,M.  Bibby,0,2,2,PG,3,0,1,"November 6, 2009",291106030,1,Hawks
-23,0-4,1,0,3,5-12,3-3,31,J.  Johnson,0,2,13,SG,3,1,0,"November 6, 2009",291106030,1,Hawks
-3,0-0,0,0,1,0-0,0-0,6,J.  Smith,0,1,0,PF,1,0,0,"November 6, 2009",291106030,0,Hawks
+10,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 6, 2009",291106030,0,Hawks
+2,0-0,0,1,0,0-0,1-2,4,R.  Morris,0,3,1,C,0,0,0,"November 6, 2009",291106030,0,Hawks
-9,0-0,1,1,2,4-9,0-0,17,Z.  Pachulia,2,2,8,C,4,0,2,"November 6, 2009",291106030,0,Hawks
+2,0-0,0,0,0,0-1,0-0,4,J.  Collins,0,0,0,C,0,0,1,"November 6, 2009",291106030,0,Hawks
+1,0-1,3,1,1,2-4,0-0,20,J.  Teague,0,1,4,PG,1,2,1,"November 6, 2009",291106030,0,Hawks
-5,2-4,1,0,3,4-8,0-0,23,M.  Evans,0,2,10,SG,3,1,0,"November 6, 2009",291106030,0,Hawks
-13,0-4,0,0,3,5-14,3-6,34,J.  Crawford,0,2,13,SG,3,0,0,"November 6, 2009",291106030,0,Hawks
+27,0-1,2,1,16,3-14,5-5,36,G.  Wallace,2,1,11,SF,18,1,4,"November 6, 2009",291106030,1,Bobcats
+21,0-0,0,3,8,5-5,0-0,30,T.  Chandler,2,3,10,C,10,0,2,"November 6, 2009",291106030,1,Bobcats
+20,0-1,4,0,5,4-9,2-4,32,B.  Diaw,4,2,10,C,9,0,3,"November 6, 2009",291106030,1,Bobcats
+10,1-2,7,0,3,3-9,0-0,24,R.  Felton,0,1,7,PG,3,1,2,"November 6, 2009",291106030,1,Bobcats
+24,5-6,4,0,0,9-12,1-1,31,R.  Bell,1,3,24,SG,1,0,2,"November 6, 2009",291106030,1,Bobcats
-6,0-0,1,0,2,1-2,0-0,13,S.  Graham,0,1,2,SF,2,0,1,"November 6, 2009",291106030,0,Bobcats
-2,0-0,0,0,0,0-2,2-2,5,D.  Brown,0,0,2,SF,0,0,0,"November 6, 2009",291106030,0,Bobcats
-3,0-0,1,0,0,1-1,0-0,9,V.  Radmanovic,0,3,2,SF,0,0,0,"November 6, 2009",291106030,0,Bobcats
+1,0-0,0,0,0,0-0,0-0,0,A.  Ajinca,0,0,0,C,0,0,0,"November 6, 2009",291106030,0,Bobcats
+21,0-0,0,0,0,0-0,0-0,0,D.  Diop,0,0,0,C,0,0,0,"November 6, 2009",291106030,0,Bobcats
+0,0-0,1,3,1,4-6,0-0,15,N.  Mohammed,1,1,8,C,2,0,0,"November 6, 2009",291106030,0,Bobcats
+10,2-3,3,0,3,4-10,1-1,24,D.J. ,0,4,11,PG,3,0,1,"November 6, 2009",291106030,0,Bobcats
+1,3-5,1,0,4,5-12,2-3,18,R.  Murray,2,3,15,SG,6,0,0,"November 6, 2009",291106030,0,Bobcats
-2,0-0,0,0,2,0-1,1-2,4,G.  Henderson,0,0,1,SG,2,0,0,"November 6, 2009",291106030,0,Bobcats
-23,1-3,2,0,4,7-21,15-18,39,C.  Anthony,2,3,30,yF,6,3,0,"November 7, 2009",291107001,1,Nuggets
-18,0-0,0,1,2,1-4,2-2,18,J.  Graham,2,3,4,SF,4,0,0,"November 7, 2009",291107001,1,Nuggets
-13,0-0,0,0,1,1-1,0-0,11,R.  Balkman,0,5,2,SF,1,0,1,"November 7, 2009",291107001,1,Nuggets
-22,0-0,2,0,4,4-6,4-4,38,N.  Hilario,3,3,12,C,7,1,2,"November 7, 2009",291107001,1,Nuggets
-19,1-4,7,0,2,10-22,6-7,38,C.  Billups,1,4,27,PG,3,1,2,"November 7, 2009",291107001,1,Nuggets
+2,0-0,0,0,0,0-0,0-0,2,M.  Allen,0,0,0,PF,0,0,0,"November 7, 2009",291107001,0,Nuggets
+0,0-0,0,0,0,0-0,0-0,0,K.  Martin,0,0,0,PF,0,0,0,"November 7, 2009",291107001,0,Nuggets
-2,0-0,1,3,9,3-8,0-2,25,C.  Andersen,2,3,6,PF,11,0,1,"November 7, 2009",291107001,0,Nuggets
-3,0-0,0,0,1,0-1,0-0,3,J.  Petro,0,0,0,C,1,0,0,"November 7, 2009",291107001,0,Nuggets
-7,0-1,4,0,1,3-7,4-4,27,T.  Lawson,0,1,10,PG,1,0,3,"November 7, 2009",291107001,0,Nuggets
-7,0-0,0,0,0,0-0,0-0,8,A.  Carter,0,0,0,PG,0,0,1,"November 7, 2009",291107001,0,Nuggets
-13,0-2,1,0,2,3-8,3-4,32,A.  Afflalo,0,2,9,SG,2,0,0,"November 7, 2009",291107001,0,Nuggets
-13,0-0,0,0,0,0-0,0-0,0,J.  Smith,0,0,0,SG,0,0,0,"November 7, 2009",291107001,0,Nuggets
+25,0-0,7,6,7,8-10,6-8,35,J.  Smith,2,2,22,PF,9,0,1,"November 7, 2009",291107001,1,Hawks
+13,0-2,1,0,0,4-6,6-6,23,M.  Williams,2,5,14,PF,2,1,1,"November 7, 2009",291107001,1,Hawks
+25,0-0,5,1,11,4-5,3-4,35,A.  Horford,1,3,11,PF,12,0,1,"November 7, 2009",291107001,1,Hawks
+22,3-4,3,0,0,4-7,0-0,20,M.  Bibby,0,5,11,PG,0,0,1,"November 7, 2009",291107001,1,Hawks
+22,2-5,5,0,7,9-19,2-2,34,J.  Johnson,0,4,22,SG,7,0,2,"November 7, 2009",291107001,1,Hawks
-3,0-0,0,1,0,2-3,0-0,6,J.  Smith,0,2,4,PF,0,0,0,"November 7, 2009",291107001,0,Hawks
-7,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 7, 2009",291107001,0,Hawks
+1,0-0,0,0,1,0-1,0-0,4,R.  Morris,0,0,0,C,1,0,0,"November 7, 2009",291107001,0,Hawks
-1,0-0,0,1,1,0-1,0-0,9,Z.  Pachulia,0,5,0,C,1,0,0,"November 7, 2009",291107001,0,Hawks
-2,0-0,0,0,0,0-1,0-0,2,J.  Collins,0,0,0,C,0,0,0,"November 7, 2009",291107001,0,Hawks
+5,0-1,4,0,2,1-9,2-2,16,J.  Teague,0,3,4,PG,2,1,0,"November 7, 2009",291107001,0,Hawks
+4,2-4,1,0,4,5-10,0-0,17,M.  Evans,2,3,12,SG,6,0,0,"November 7, 2009",291107001,0,Hawks
+14,1-3,4,0,3,8-15,8-8,38,J.  Crawford,1,1,25,SG,4,2,2,"November 7, 2009",291107001,0,Hawks
+13,0-0,4,1,11,10-15,2-4,40,J.  Smith,1,4,22,PF,12,2,3,"November 11, 2009",291111018,1,Hawks
-6,0-2,0,0,4,2-7,0-0,22,M.  Williams,0,5,4,PF,4,0,1,"November 11, 2009",291111018,1,Hawks
+22,0-0,3,2,5,9-16,7-9,42,A.  Horford,4,2,25,PF,9,2,3,"November 11, 2009",291111018,1,Hawks
+17,3-4,9,0,3,6-8,4-4,35,M.  Bibby,0,2,19,PG,3,2,2,"November 11, 2009",291111018,1,Hawks
+18,1-3,5,0,5,8-19,2-2,44,J.  Johnson,2,2,19,SG,7,0,4,"November 11, 2009",291111018,1,Hawks
-4,0-0,0,0,0,0-0,0-0,2,J.  Smith,0,1,0,PF,0,0,1,"November 11, 2009",291111018,0,Hawks
+1,0-0,0,0,0,0-0,0-0,0,O.  Hunter,0,0,0,SF,0,0,0,"November 11, 2009",291111018,0,Hawks
-1,0-0,0,0,0,0-0,0-0,2,R.  Morris,0,0,0,C,0,0,0,"November 11, 2009",291111018,0,Hawks
-8,0-0,0,0,1,1-1,0-0,5,Z.  Pachulia,1,0,2,C,2,0,1,"November 11, 2009",291111018,0,Hawks
+0,0-0,0,0,0,0-0,0-0,0,J.  Collins,0,0,0,C,0,0,0,"November 11, 2009",291111018,0,Hawks
-1,0-0,0,0,0,0-0,0-0,2,J.  Teague,0,0,0,PG,0,0,0,"November 11, 2009",291111018,0,Hawks
-1,1-1,0,0,3,4-6,3-3,22,M.  Evans,1,1,12,SG,4,1,0,"November 11, 2009",291111018,0,Hawks
+16,1-3,2,0,1,4-9,2-2,27,J.  Crawford,0,2,11,SG,1,0,0,"November 11, 2009",291111018,0,Hawks
-8,0-0,0,0,4,4-9,1-1,25,D.  Lee,3,4,9,PF,7,0,4,"November 11, 2009",291111018,1,Knicks
-21,1-3,1,1,3,5-8,3-3,31,W.  Chandler,0,4,14,SF,3,0,1,"November 11, 2009",291111018,1,Knicks
+4,2-5,2,0,7,3-8,4-5,31,D.  Gallinari,0,2,12,SF,7,1,1,"November 11, 2009",291111018,1,Knicks
+0,2-6,1,0,4,10-19,1-1,36,T.  Douglas,0,4,23,PG,4,0,3,"November 11, 2009",291111018,1,Knicks
-11,0-3,2,0,3,0-6,0-0,25,C.  Duhon,0,2,0,PG,3,1,3,"November 11, 2009",291111018,1,Knicks
-16,0-4,3,0,8,10-21,3-3,38,A.  Harrington,4,3,23,PF,12,3,1,"November 11, 2009",291111018,0,Knicks
+1,0-0,1,1,0,2-3,0-0,18,J.  Jeffries,1,1,4,PF,1,1,3,"November 11, 2009",291111018,0,Knicks
+1,0-1,0,0,0,0-1,0-0,2,M.  Landry,1,1,0,SF,1,0,0,"November 11, 2009",291111018,0,Knicks
