+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
-10,0-1,0,1,3,2-4,2-2,24,E.  Ilyasova,3,5,6,6,1,0,"October 18, 2017",400974705,1,Hawks,PF
-5,0-0,1,1,8,4-10,2-2,26,T.  Prince,2,2,10,10,0,1,"October 18, 2017",400974705,1,Hawks,SF
-2,0-0,1,3,5,3-6,3-4,26,D.  Dedmon,2,2,9,7,0,4,"October 18, 2017",400974705,1,Hawks,C
-3,1-3,7,0,2,13-26,1-2,34,D.  Schroder,0,1,28,2,2,2,"October 18, 2017",400974705,1,Hawks,PG
-5,1-1,3,0,3,3-7,0-0,27,K.  Bazemore,1,2,7,4,1,1,"October 18, 2017",400974705,1,Hawks,SG
+8,0-0,1,0,2,6-10,2-3,22,J.  Collins,3,1,14,5,2,1,"October 18, 2017",400974705,0,Hawks,PF
-5,0-1,2,0,3,2-3,0-0,14,M.  Muscala,1,2,4,4,0,0,"October 18, 2017",400974705,0,Hawks,PF
+13,0-1,1,1,5,3-6,0-0,18,D.  Bembry,1,0,6,6,2,2,"October 18, 2017",400974705,0,Hawks,SF
+17,1-2,0,0,0,2-3,0-0,9,L.  Babbitt,1,0,5,1,0,0,"October 18, 2017",400974705,0,Hawks,SF
-1,1-2,0,0,1,2-4,0-0,11,M.  Delaney,0,1,5,1,0,1,"October 18, 2017",400974705,0,Hawks,PG
+14,4-6,3,0,3,7-14,2-2,26,M.  Belinelli,0,0,20,3,3,1,"October 18, 2017",400974705,0,Hawks,SG
+9,1-1,1,0,1,1-1,0-0,4,J.  Magette,0,2,3,1,0,0,"October 18, 2017",400974705,0,Hawks,G
,,,,,,,DNP-COACH'S DECISION,T.  Dorsey,,,,,,,"October 18, 2017",400974705,0,Hawks,SG
+1,0-6,3,0,6,3-13,8-9,38,H.  Barnes,1,0,14,7,1,2,"October 18, 2017",400974705,1,Mavericks,SF
-18,2-7,0,0,5,4-14,0-1,24,D.  Nowitzki,1,3,10,6,0,0,"October 18, 2017",400974705,1,Mavericks,C
-9,3-4,2,0,0,3-7,0-0,32,Y.  Ferrell,0,2,9,0,1,0,"October 18, 2017",400974705,1,Mavericks,PG
+3,1-4,10,0,1,6-12,3-4,30,D.  Smith J,2,2,16,3,0,3,"October 18, 2017",400974705,1,Mavericks,PG
-1,5-9,5,0,6,5-12,0-0,37,W.  Matthews,2,4,15,8,1,5,"October 18, 2017",400974705,1,Mavericks,SG
-5,0-2,0,0,2,1-3,0-0,11,D.  Finney-Smith,1,2,2,3,0,2,"October 18, 2017",400974705,0,Mavericks,SF
+9,0-0,0,3,9,6-6,4-4,20,N.  Noel,2,2,16,11,1,0,"October 18, 2017",400974705,0,Mavericks,C
-4,2-3,0,1,0,2-3,0-0,14,D.  Powell,0,2,6,0,1,1,"October 18, 2017",400974705,0,Mavericks,C
+3,1-5,2,0,0,4-9,1-1,16,D.  Harris,0,1,10,0,0,2,"October 18, 2017",400974705,0,Mavericks,PG
-9,3-5,5,0,3,4-7,2-2,18,J.J. ,0,1,13,3,0,0,"October 18, 2017",400974705,0,Mavericks,PG
,,,,,,,DNP-COACH'S DECISION,M.  Kleber,,,,,,,"October 18, 2017",400974705,0,Mavericks,PF
,,,,,,,DNP-COACH'S DECISION,J.  Withey,,,,,,,"October 18, 2017",400974705,0,Mavericks,C
,,,,,,,DNP-COACH'S DECISION,S.  Mejri,,,,,,,"October 18, 2017",400974705,0,Mavericks,C
-5,0-3,1,0,5,0-4,0-0,21,E.  Ilyasova,1,5,0,6,1,1,"October 20, 2017",400974770,1,Hawks,PF
-19,2-4,2,0,6,6-13,1-1,29,T.  Prince,0,4,15,6,1,2,"October 20, 2017",400974770,1,Hawks,SF
-10,1-1,2,1,5,5-9,0-0,25,D.  Dedmon,2,2,11,7,1,1,"October 20, 2017",400974770,1,Hawks,C
-3,0-2,5,0,2,11-21,3-3,32,D.  Schroder,1,2,25,3,1,3,"October 20, 2017",400974770,1,Hawks,PG
-5,1-2,2,0,1,5-9,0-0,26,K.  Bazemore,0,2,11,1,3,1,"October 20, 2017",400974770,1,Hawks,SG
-12,0-0,0,2,2,2-4,1-2,15,J.  Collins,0,6,5,2,1,2,"October 20, 2017",400974770,0,Hawks,PF
-2,1-4,0,0,2,3-8,2-2,19,M.  Muscala,2,3,9,4,1,0,"October 20, 2017",400974770,0,Hawks,PF
+2,0-1,0,0,1,0-1,0-0,3,N.  Brussino,0,0,0,1,0,0,"October 20, 2017",400974770,0,Hawks,SF
-7,1-6,0,0,1,2-7,2-2,16,L.  Babbitt,0,2,7,1,1,1,"October 20, 2017",400974770,0,Hawks,SF
-26,0-2,4,1,2,1-6,1-2,23,M.  Delaney,0,1,3,2,1,0,"October 20, 2017",400974770,0,Hawks,PG
+2,0-2,0,0,1,0-2,0-0,3,T.  Dorsey,0,0,0,1,0,0,"October 20, 2017",400974770,0,Hawks,SG
-5,1-3,2,0,4,1-10,2-2,22,M.  Belinelli,0,1,5,4,0,2,"October 20, 2017",400974770,0,Hawks,SG
+0,0-0,1,0,0,0-1,0-0,7,J.  Magette,0,1,0,0,0,0,"October 20, 2017",400974770,0,Hawks,G
+2,0-4,1,1,2,0-6,0-0,16,M.  Williams,1,0,0,3,1,1,"October 20, 2017",400974770,1,Hornets,PF
+13,2-3,0,0,11,2-4,0-0,19,D.  Bacon,0,1,6,11,1,2,"October 20, 2017",400974770,1,Hornets,SF
+34,0-0,0,1,11,8-12,4-8,33,D.  Howard,4,5,20,15,0,6,"October 20, 2017",400974770,1,Hornets,C
+35,4-8,9,0,3,6-13,10-12,38,K.  Walker,1,2,26,4,1,4,"October 20, 2017",400974770,1,Hornets,PG
+26,0-5,2,1,3,7-17,1-1,38,J.  Lamb,2,4,15,5,0,2,"October 20, 2017",400974770,1,Hornets,SG
+18,2-5,3,0,6,7-14,5-5,33,F.  Kaminsky,0,1,21,6,1,2,"October 20, 2017",400974770,0,Hornets,PF
-18,0-1,1,1,3,2-6,2-2,14,J.  O'Bryant III,3,1,6,6,1,0,"October 20, 2017",400974770,0,Hornets,PF
-12,0-1,1,0,2,0-1,0-0,6,J.  Stone,0,0,0,2,0,1,"October 20, 2017",400974770,0,Hornets,PG
-13,2-5,0,0,3,2-7,0-0,19,M.  Monk,0,3,6,3,0,3,"October 20, 2017",400974770,0,Hornets,SG
+5,1-4,0,0,1,3-6,2-2,24,T.  Graham,1,1,9,2,0,0,"October 20, 2017",400974770,0,Hornets,SG
,,,,,,,DNP-PERSONAL REASONS,M.  Kidd-Gilchrist,,,,,,,"October 20, 2017",400974770,0,Hornets,SF
,,,,,,,DNP-INJURED,C.  Zeller,,,,,,,"October 20, 2017",400974770,0,Hornets,C
,,,,,,,DNP-INJURED,M.  Carter-Williams,,,,,,,"October 20, 2017",400974770,0,Hornets,PG
-3,1-5,0,0,6,3-10,2-2,22,E.  Ilyasova,1,3,9,7,2,0,"October 22, 2017",400974789,1,Hawks,PF
-9,1-1,1,0,0,3-8,2-2,23,T.  Prince,1,3,9,1,1,3,"October 22, 2017",400974789,1,Hawks,SF
-8,1-3,0,0,6,3-5,0-0,21,D.  Dedmon,1,4,7,7,1,0,"October 22, 2017",400974789,1,Hawks,C
-12,0-4,8,0,1,5-22,7-7,31,D.  Schroder,3,3,17,4,2,2,"October 22, 2017",400974789,1,Hawks,PG
-3,0-3,3,1,3,4-12,8-8,32,K.  Bazemore,0,3,16,3,0,5,"October 22, 2017",400974789,1,Hawks,SG
+1,0-0,0,1,7,5-11,4-4,21,J.  Collins,6,5,14,13,0,2,"October 22, 2017",400974789,0,Hawks,PF
-2,0-1,1,0,3,3-6,2-3,25,M.  Muscala,3,1,8,6,0,1,"October 22, 2017",400974789,0,Hawks,PF
-9,0-1,0,0,2,0-1,0-0,6,L.  Babbitt,0,2,0,2,0,1,"October 22, 2017",400974789,0,Hawks,SF
-9,1-1,4,0,2,1-5,2-4,22,M.  Delaney,1,0,5,3,0,1,"October 22, 2017",400974789,0,Hawks,PG
+0,0-0,0,0,0,0-0,0-0,1,T.  Dorsey,0,0,0,0,0,0,"October 22, 2017",400974789,0,Hawks,SG
-3,3-7,3,0,2,5-13,6-6,31,M.  Belinelli,0,1,19,2,0,1,"October 22, 2017",400974789,0,Hawks,SG
+0,0-1,0,0,0,0-1,0-0,1,I.  Taylor,0,0,0,0,0,0,"October 22, 2017",400974789,0,Hawks,G
-3,0-0,1,0,0,0-0,0-0,3,J.  Magette,0,0,0,0,0,0,"October 22, 2017",400974789,0,Hawks,G
-18,0-0,0,0,5,4-10,1-1,19,R.  Hollis-Jefferson,2,4,9,7,1,1,"October 22, 2017",400974789,1,Nets,SF
+19,2-5,2,2,2,4-7,7-10,28,D.  Carroll,1,2,17,3,2,2,"October 22, 2017",400974789,1,Nets,SF
+9,0-0,1,0,3,3-5,0-0,18,T.  Mozgov,2,0,6,5,0,0,"October 22, 2017",400974789,1,Nets,C
+11,1-3,10,0,6,6-13,3-4,29,D.  Russell,1,3,16,7,1,4,"October 22, 2017",400974789,1,Nets,PG
+6,0-2,4,0,6,5-9,6-9,30,C.  LeVert,0,5,16,6,3,4,"October 22, 2017",400974789,1,Nets,SG
+16,0-0,4,0,4,6-11,2-4,28,T.  Booker,2,2,14,6,1,2,"October 22, 2017",400974789,0,Nets,PF
+5,1-3,0,0,2,1-4,0-0,11,Q.  Acy,0,4,3,2,1,3,"October 22, 2017",400974789,0,Nets,SF
