+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
--,0-0,3,0,2,3-8,3-4,28,J.  Smith,4,4,9,6,2,5,"November 2, 2005",251102009,1,Hawks,PF
--,0-2,5,0,7,9-17,0-0,30,A.  Harrington,2,5,18,9,3,3,"November 2, 2005",251102009,1,Hawks,PF
--,0-0,2,0,4,3-9,2-4,36,J.  Childress,2,2,8,6,4,2,"November 2, 2005",251102009,1,Hawks,SF
--,0-0,2,0,3,4-11,5-6,33,Z.  Pachulia,9,5,13,12,0,3,"November 2, 2005",251102009,1,Hawks,C
--,1-3,1,2,0,7-18,2-2,32,J.  Johnson,1,4,17,1,0,1,"November 2, 2005",251102009,1,Hawks,SG
--,1-1,1,1,4,5-10,1-1,25,M.  Williams,2,4,12,6,1,0,"November 2, 2005",251102009,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,6,E.  Batista,0,2,0,0,0,0,"November 2, 2005",251102009,0,Hawks,PF
--,0-0,1,0,1,0-0,0-0,7,J.  Edwards,0,2,0,1,0,0,"November 2, 2005",251102009,0,Hawks,C
--,1-2,4,0,3,6-12,3-4,23,T.  Lue,0,3,16,3,0,4,"November 2, 2005",251102009,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,0,T.  Delk,0,0,0,0,0,0,"November 2, 2005",251102009,0,Hawks,PG
--,0-0,1,0,0,1-1,0-0,3,R.  Ivey,0,1,2,0,1,1,"November 2, 2005",251102009,0,Hawks,PG
--,0-1,1,0,2,0-5,0-0,11,S.  Stoudamire,0,2,0,2,0,1,"November 2, 2005",251102009,0,Hawks,SG
--,0-1,0,0,1,1-2,0-0,7,D.  Smith,0,1,2,1,1,0,"November 2, 2005",251102009,0,Hawks,SG
--,1-1,0,0,9,8-8,2-5,25,T.  Murphy,0,4,19,9,1,3,"November 2, 2005",251102009,1,Warriors,PF
--,0-0,1,3,3,2-2,0-1,21,A.  Foyle,3,2,4,6,0,0,"November 2, 2005",251102009,1,Warriors,C
--,1-5,7,0,1,5-11,4-7,28,B.  Davis,0,0,15,1,4,2,"November 2, 2005",251102009,1,Warriors,PG
--,2-6,2,2,4,11-23,4-5,42,J.  Richardson,2,2,28,6,1,2,"November 2, 2005",251102009,1,Warriors,SG
--,1-5,3,0,3,3-10,4-6,39,M.  Dunleavy,2,2,11,5,1,7,"November 2, 2005",251102009,1,Warriors,SG
--,0-0,0,0,0,0-0,0-0,0,I.  Diogu,0,0,0,0,0,0,"November 2, 2005",251102009,0,Warriors,PF
--,0-0,0,3,3,2-3,0-2,18,C.  Taft,1,2,4,4,0,0,"November 2, 2005",251102009,0,Warriors,PF
--,0-0,1,0,1,2-2,5-6,7,Z.  Cabarkapa,1,0,9,2,0,1,"November 2, 2005",251102009,0,Warriors,SF
--,1-1,0,0,1,6-9,7-9,24,M.  Pietrus,0,1,20,1,1,1,"November 2, 2005",251102009,0,Warriors,SF
--,0-0,0,0,0,0-0,0-0,4,A.  Biedrins,0,2,0,0,1,0,"November 2, 2005",251102009,0,Warriors,C
--,1-1,5,0,0,4-5,3-4,20,D.  Fisher,1,5,12,1,1,0,"November 2, 2005",251102009,0,Warriors,PG
--,0-0,5,0,2,0-1,0-0,10,A.  Miles,0,1,0,2,0,2,"November 2, 2005",251102009,0,Warriors,PG
--,0-0,0,0,0,0-0,0-0,4,C.  Cheaney,1,0,0,1,0,1,"November 2, 2005",251102009,0,Warriors,SG
--,0-0,0,0,0,0-0,0-0,0,M.  Ellis,0,0,0,0,0,0,"November 2, 2005",251102009,0,Warriors,SG
--,0-0,0,3,5,4-13,0-2,26,J.  Smith,4,4,8,9,0,4,"November 4, 2005",251104012,1,Hawks,PF
