+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
--,0-3,2,1,4,2-10,1-2,33,J.  Smith,3,5,5,7,2,2,"November 1, 2006",261101020,1,Hawks,PF
--,0-0,1,2,8,4-9,7-8,42,Z.  Pachulia,4,2,15,12,1,4,"November 1, 2006",261101020,1,Hawks,C
--,0-0,0,1,3,0-2,0-0,16,S.  Williams,0,3,0,3,0,1,"November 1, 2006",261101020,1,Hawks,C
--,0-0,0,0,1,0-5,3-4,28,S.  Claxton,0,3,3,1,2,3,"November 1, 2006",261101020,1,Hawks,PG
--,3-9,4,0,3,9-23,4-4,46,J.  Johnson,1,3,25,4,2,5,"November 1, 2006",261101020,1,Hawks,SG
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 1, 2006",261101020,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 1, 2006",261101020,0,Hawks,PF
--,0-0,0,0,1,0-1,0-0,5,S.  Jones,0,0,0,1,0,0,"November 1, 2006",261101020,0,Hawks,PF
--,0-2,2,0,2,7-16,1-1,34,J.  Childress,8,1,15,10,0,3,"November 1, 2006",261101020,0,Hawks,SF
--,0-0,0,0,1,0-0,0-0,3,M.  Freije,0,0,0,1,0,0,"November 1, 2006",261101020,0,Hawks,SF
--,1-1,2,0,0,4-9,3-3,23,T.  Lue,1,5,12,1,0,0,"November 1, 2006",261101020,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,0,R.  Ivey,0,0,0,0,0,0,"November 1, 2006",261101020,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,2,C.  Bozeman,0,0,0,0,0,0,"November 1, 2006",261101020,0,Hawks,SG
--,0-2,0,0,2,0-3,0-0,8,S.  Stoudamire,0,2,0,2,2,0,"November 1, 2006",261101020,0,Hawks,SG
,,,,,,,Did not play,L.  Wright,,,,,,,"November 1, 2006",261101020,0,Hawks,PF
--,2-3,5,1,3,4-8,5-5,41,A.  Iguodala,1,2,15,4,3,3,"November 1, 2006",261101020,1,76ers,SF
--,0-0,3,2,7,4-16,0-0,34,C.  Webber,6,2,8,13,1,1,"November 1, 2006",261101020,1,76ers,C
--,0-0,0,2,7,4-4,3-4,25,S.  Dalembert,4,4,11,11,3,1,"November 1, 2006",261101020,1,76ers,C
--,0-0,3,0,2,3-7,0-0,25,K.  Ollie,0,4,6,2,0,2,"November 1, 2006",261101020,1,76ers,PG
--,1-2,6,0,2,9-21,13-14,43,A.  Iverson,2,0,32,4,0,7,"November 1, 2006",261101020,1,76ers,SG
--,0-0,0,0,1,0-0,0-0,7,S.  Randolph,1,1,0,2,0,0,"November 1, 2006",261101020,0,76ers,PF
--,-----,--,--,--,-----,-----,--,I.  McFarlin,--,--,--,--,--,--,"November 1, 2006",261101020,0,76ers,PF
--,-----,--,--,--,-----,-----,--,A.  Henderson,--,--,--,--,--,--,"November 1, 2006",261101020,0,76ers,PF
--,0-0,0,0,0,0-0,0-0,0,B.  Jones,0,0,0,0,0,0,"November 1, 2006",261101020,0,76ers,SF
--,0-0,0,0,0,0-0,0-0,0,S.  Smith,0,0,0,0,0,0,"November 1, 2006",261101020,0,76ers,SF
--,0-0,0,1,5,3-4,0-0,19,S.  Hunter,1,3,6,6,0,1,"November 1, 2006",261101020,0,76ers,C
--,0-0,0,0,0,0-0,0-0,0,L.  Williams,0,0,0,0,0,0,"November 1, 2006",261101020,0,76ers,SG
--,0-0,0,0,1,1-1,0-0,8,R.  Carney,0,0,2,1,0,0,"November 1, 2006",261101020,0,76ers,SG
--,0-3,1,0,0,1-5,0-0,10,W.  Green,0,3,2,0,1,1,"November 1, 2006",261101020,0,76ers,SG
--,0-1,1,0,4,2-8,2-2,28,K.  Korver,0,3,6,4,2,0,"November 1, 2006",261101020,0,76ers,SG
--,0-1,2,0,4,2-11,0-0,20,C.  Frye,4,2,4,8,0,4,"November 3, 2006",261103001,1,Knicks,PF
--,0-1,0,0,4,6-12,7-9,31,Q.  Richardson,2,5,19,6,0,1,"November 3, 2006",261103001,1,Knicks,SF
--,0-0,1,0,1,9-13,2-5,39,E.  Curry,1,5,20,2,0,3,"November 3, 2006",261103001,1,Knicks,C
--,1-2,9,0,5,3-6,2-2,33,S.  Francis,1,4,9,6,1,2,"November 3, 2006",261103001,1,Knicks,PG
--,0-2,5,0,3,2-9,5-6,38,S.  Marbury,0,2,9,3,0,1,"November 3, 2006",261103001,1,Knicks,PG
--,0-0,0,0,7,3-4,3-4,19,D.  Lee,1,4,9,8,1,1,"November 3, 2006",261103001,0,Knicks,PF
--,0-0,0,0,0,0-0,0-0,0,J.  Jeffries,0,0,0,0,0,0,"November 3, 2006",261103001,0,Knicks,PF
--,0-0,0,0,0,0-0,0-0,2,M.  Rose,0,0,0,0,0,0,"November 3, 2006",261103001,0,Knicks,PF
--,0-0,0,1,1,1-1,0-0,4,R.  Balkman,0,0,2,1,0,1,"November 3, 2006",261103001,0,Knicks,SF
--,0-0,0,0,0,0-0,0-0,0,J.  James,0,0,0,0,0,0,"November 3, 2006",261103001,0,Knicks,C
--,0-0,0,0,1,0-0,0-0,2,K.  Cato,1,0,0,2,0,0,"November 3, 2006",261103001,0,Knicks,C
--,0-0,1,0,1,6-8,3-4,23,N.  Robinson,1,4,15,2,0,3,"November 3, 2006",261103001,0,Knicks,PG
--,0-0,0,0,0,0-0,0-0,0,M.  Collins,0,0,0,0,0,0,"November 3, 2006",261103001,0,Knicks,PG
--,0-3,0,1,2,1-8,3-4,27,J.  Crawford,0,2,5,2,0,1,"November 3, 2006",261103001,0,Knicks,SG
--,1-3,1,1,3,4-9,2-2,29,J.  Smith,0,3,11,3,2,1,"November 3, 2006",261103001,1,Hawks,PF
--,0-0,4,0,5,8-11,6-9,30,Z.  Pachulia,2,5,22,7,1,1,"November 3, 2006",261103001,1,Hawks,C
--,0-0,0,2,3,0-4,2-2,26,S.  Williams,6,2,2,9,1,2,"November 3, 2006",261103001,1,Hawks,C
--,0-0,4,0,2,3-7,1-4,25,S.  Claxton,0,5,7,2,1,5,"November 3, 2006",261103001,1,Hawks,PG
--,3-6,8,1,3,12-24,3-5,35,J.  Johnson,1,3,30,4,0,2,"November 3, 2006",261103001,1,Hawks,SG
--,0-0,0,0,3,1-4,1-2,16,L.  Wright,0,3,3,3,0,0,"November 3, 2006",261103001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 3, 2006",261103001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 3, 2006",261103001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,S.  Jones,0,0,0,0,0,0,"November 3, 2006",261103001,0,Hawks,PF
--,0-0,0,1,2,5-8,2-2,36,J.  Childress,3,2,12,5,1,0,"November 3, 2006",261103001,0,Hawks,SF
--,0-3,0,0,1,2-6,0-0,9,M.  Freije,1,0,4,2,0,0,"November 3, 2006",261103001,0,Hawks,SF
--,0-2,0,0,1,4-9,3-5,25,T.  Lue,2,1,11,3,1,1,"November 3, 2006",261103001,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,0,R.  Ivey,0,0,0,0,0,0,"November 3, 2006",261103001,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,10,C.  Bozeman,0,1,0,0,1,1,"November 3, 2006",261103001,0,Hawks,SG
,,,,,,,Did not play,S.  Stoudamire,,,,,,,"November 3, 2006",261103001,0,Hawks,SG
--,0-0,0,0,5,5-11,4-5,29,G.  Hill,0,4,14,5,1,3,"November 5, 2006",261105001,1,Magic,SF
--,0-4,2,0,4,1-10,1-2,26,H.  Turkoglu,1,3,3,5,0,1,"November 5, 2006",261105001,1,Magic,SF
--,0-0,0,1,4,3-6,1-1,23,T.  Battie,3,1,7,7,0,0,"November 5, 2006",261105001,1,Magic,C
--,0-0,0,2,5,3-5,5-8,25,D.  Howard,3,5,11,8,1,5,"November 5, 2006",261105001,1,Magic,C
--,0-0,1,0,0,2-6,0-0,23,J.  Nelson,1,3,4,1,2,5,"November 5, 2006",261105001,1,Magic,PG
--,0-0,0,0,0,0-0,0-0,0,J.  Augustine,0,0,0,0,0,0,"November 5, 2006",261105001,0,Magic,PF
--,0-0,0,0,1,1-1,0-0,12,B.  Outlaw,1,1,2,2,1,0,"November 5, 2006",261105001,0,Magic,PF
--,0-2,0,0,1,0-3,0-0,10,P.  Garrity,0,0,0,1,0,0,"November 5, 2006",261105001,0,Magic,PF
--,0-0,0,0,0,0-0,0-0,0,T.  Ariza,0,0,0,0,0,0,"November 5, 2006",261105001,0,Magic,SF
--,0-0,1,3,1,4-11,1-6,25,D.  Milicic,5,2,9,6,0,1,"November 5, 2006",261105001,0,Magic,C
--,1-1,0,0,0,1-1,0-0,1,T.  Diener,0,1,3,0,0,1,"November 5, 2006",261105001,0,Magic,PG
--,1-1,3,0,3,9-9,3-4,25,C.  Arroyo,0,1,22,3,0,2,"November 5, 2006",261105001,0,Magic,PG
--,0-2,1,0,2,2-10,1-1,25,K.  Dooling,0,3,5,2,0,2,"November 5, 2006",261105001,0,Magic,PG
--,0-0,0,0,0,0-0,0-0,0,J.  Redick,0,0,0,0,0,0,"November 5, 2006",261105001,0,Magic,SG
--,0-1,0,0,2,0-1,2-2,15,K.  Bogans,0,3,2,2,1,1,"November 5, 2006",261105001,0,Magic,SG
--,1-3,3,4,8,3-9,4-6,40,J.  Smith,3,2,11,11,0,3,"November 5, 2006",261105001,1,Hawks,PF
--,0-0,0,0,2,4-6,9-10,25,Z.  Pachulia,2,4,17,4,1,5,"November 5, 2006",261105001,1,Hawks,C
--,0-0,0,0,1,1-4,0-0,14,S.  Williams,1,4,2,2,1,3,"November 5, 2006",261105001,1,Hawks,C
--,0-0,5,0,3,1-10,4-4,29,S.  Claxton,1,4,6,4,6,4,"November 5, 2006",261105001,1,Hawks,PG
--,2-4,3,0,0,11-19,7-9,34,J.  Johnson,0,3,31,0,3,0,"November 5, 2006",261105001,1,Hawks,SG
--,0-0,0,0,3,4-7,0-0,22,L.  Wright,1,3,8,4,0,0,"November 5, 2006",261105001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,M.  Williams,0,0,0,0,0,0,"November 5, 2006",261105001,0,Hawks,PF
--,0-0,0,0,0,0-0,0-0,0,E.  Batista,0,0,0,0,0,0,"November 5, 2006",261105001,0,Hawks,PF
--,0-0,0,0,3,2-4,2-2,9,S.  Jones,1,3,6,4,0,1,"November 5, 2006",261105001,0,Hawks,PF
--,0-0,0,0,7,3-7,2-2,38,J.  Childress,1,2,8,8,2,1,"November 5, 2006",261105001,0,Hawks,SF
--,0-0,0,0,0,0-0,0-0,1,M.  Freije,0,0,0,0,0,0,"November 5, 2006",261105001,0,Hawks,SF
--,0-0,3,0,2,2-7,2-2,19,T.  Lue,0,2,6,2,0,0,"November 5, 2006",261105001,0,Hawks,PG
--,0-0,0,0,0,0-0,0-0,0,R.  Ivey,0,0,0,0,0,0,"November 5, 2006",261105001,0,Hawks,PG
--,0-0,2,0,0,0-0,0-0,10,C.  Bozeman,0,1,0,0,0,0,"November 5, 2006",261105001,0,Hawks,SG
,,,,,,,Did not play,S.  Stoudamire,,,,,,,"November 5, 2006",261105001,0,Hawks,SG
--,1-2,3,0,6,4-9,6-8,34,J.  Smith,1,5,15,7,0,1,"November 7, 2006",261107005,1,Hawks,PF
--,0-0,1,1,2,8-16,3-4,35,Z.  Pachulia,2,2,19,4,1,3,"November 7, 2006",261107005,1,Hawks,C
