+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
-7,0-2,3,1,3,9-15,2-4,36,P.  Millsap,2,4,20,5,1,2,"October 30, 2013",400488885,1,Hawks,PF
-14,0-0,3,4,4,5-12,1-2,32,A.  Horford,1,1,11,5,5,3,"October 30, 2013",400488885,1,Hawks,PF
-19,2-4,1,0,6,3-7,6-8,35,D.  Carroll,1,1,14,7,3,2,"October 30, 2013",400488885,1,Hawks,SF
-24,1-4,9,0,2,7-13,9-12,34,J.  Teague,0,3,24,2,4,6,"October 30, 2013",400488885,1,Hawks,PG
-12,1-4,3,0,5,3-9,1-1,36,K.  Korver,0,1,8,5,2,0,"October 30, 2013",400488885,1,Hawks,SG
+7,3-7,1,0,1,4-8,6-6,17,C.  Martin,1,3,17,2,1,0,"October 30, 2013",400488885,0,Hawks,PF
+1,0-0,0,0,0,4-5,0-0,13,E.  Brand,0,0,8,0,0,0,"October 30, 2013",400488885,0,Hawks,PF
-3,0-0,0,0,1,0-1,0-0,7,M.  Scott,0,4,0,1,0,2,"October 30, 2013",400488885,0,Hawks,PF
+5,0-1,0,0,2,0-1,0-0,8,P.  Antic,0,0,0,2,0,0,"October 30, 2013",400488885,0,Hawks,PF
+10,1-2,5,0,4,2-5,0-0,18,D.  Schroder,0,3,5,4,0,2,"October 30, 2013",400488885,0,Hawks,PG
+11,0-0,2,0,0,0-0,2-2,4,S.  Mack,0,0,2,0,0,0,"October 30, 2013",400488885,0,Hawks,G
,,,,,,,DNP-COACH'S DECISION,J.  Cunningham,,,,,,,"October 30, 2013",400488885,0,Hawks,SG
,,,,,,,DNP-COACH'S DECISION,J.  Jenkins,,,,,,,"October 30, 2013",400488885,0,Hawks,SG
+18,4-6,5,0,4,8-14,4-4,33,D.  Nowitzki,0,4,24,4,0,1,"October 30, 2013",400488885,1,Mavericks,C
+3,0-0,0,1,8,2-4,0-0,27,S.  Dalembert,1,1,4,9,0,1,"October 30, 2013",400488885,1,Mavericks,C
+4,1-5,11,0,2,1-7,2-2,35,J.  Calderon,0,3,5,2,1,4,"October 30, 2013",400488885,1,Mavericks,PG
+11,0-1,1,1,8,6-9,0-2,31,S.  Marion,0,2,12,8,2,2,"October 30, 2013",400488885,1,Mavericks,SG
+14,2-3,8,0,4,11-17,8-8,37,M.  Ellis,0,3,32,4,2,7,"October 30, 2013",400488885,1,Mavericks,SG
-6,1-1,1,0,1,1-1,0-0,9,J.  Crowder,0,1,3,1,0,0,"October 30, 2013",400488885,0,Mavericks,PF
+6,0-0,0,0,0,4-5,1-2,21,D.  Blair,5,3,9,5,0,1,"October 30, 2013",400488885,0,Mavericks,C
-2,0-0,3,0,2,0-0,2-2,9,G.  Mekel,0,1,2,2,0,2,"October 30, 2013",400488885,0,Mavericks,PG
+3,1-3,0,0,2,2-4,1-2,14,W.  Ellington,1,1,6,3,1,0,"October 30, 2013",400488885,0,Mavericks,SG
-6,2-5,2,0,4,9-16,1-2,25,V.  Carter,0,3,21,4,1,2,"October 30, 2013",400488885,0,Mavericks,SG
,,,,,,,DNP-COACH'S DECISION,B.  James,,,,,,,"October 30, 2013",400488885,0,Mavericks,C
,,,,,,,DNP-COACH'S DECISION,R.  Ledo,,,,,,,"October 30, 2013",400488885,0,Mavericks,SG
-17,0-3,1,2,3,6-23,2-4,32,R.  Gay,2,2,14,5,0,2,"November 1, 2013",400488896,1,Raptors,SF
