+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
--,0-0,2,0,13,5-15,0-0,39,S.  Abdur-Rahim,3,3,10,16,1,1,"October 29, 2003",231029003,1,Hawks,PF
--,3-10,2,0,3,8-18,2-2,44,S.  Jackson,0,3,21,3,2,7,"October 29, 2003",231029003,1,Hawks,SF
--,0-0,1,5,4,2-8,0-0,33,T.  Ratliff,2,5,4,6,0,3,"October 29, 2003",231029003,1,Hawks,C
--,0-1,4,1,4,5-13,4-6,38,D.  Glover,1,0,14,5,2,1,"October 29, 2003",231029003,1,Hawks,SG
--,0-2,6,0,9,6-15,3-3,43,J.  Terry,0,3,15,9,1,3,"October 29, 2003",231029003,1,Hawks,SG
--,0-0,1,0,5,2-3,2-2,12,L.  Nailon,1,3,6,6,0,2,"October 29, 2003",231029003,0,Hawks,SF
--,0-0,1,3,6,3-7,1-2,26,N.  Mohammed,3,2,7,9,0,4,"October 29, 2003",231029003,0,Hawks,C
--,0-0,1,2,3,0-0,2-4,12,B.  Diaw,0,0,2,3,1,2,"October 29, 2003",231029003,0,Hawks,C
--,0-1,0,0,1,2-4,0-0,18,J.  Vaughn,0,1,4,1,0,2,"October 29, 2003",231029003,0,Hawks,PG
,,,,,,,Did not play,A.  Henderson,,,,,,,"October 29, 2003",231029003,0,Hawks,PF
,,,,,,,Did not play,C.  Crawford,,,,,,,"October 29, 2003",231029003,0,Hawks,SF
,,,,,,,Did not play,T.  Hansen,,,,,,,"October 29, 2003",231029003,0,Hawks,SG
--,0-0,3,1,11,4-11,0-0,42,P.J. ,4,2,8,15,0,1,"October 29, 2003",231029003,1,Hornets,PF
--,0-2,3,3,7,6-12,2-2,40,G.  Lynch,5,2,14,12,2,1,"October 29, 2003",231029003,1,Hornets,SF
--,0-0,0,0,4,3-11,1-2,25,J.  Magloire,1,2,7,5,2,1,"October 29, 2003",231029003,1,Hornets,C
--,1-7,10,0,2,6-26,2-4,42,B.  Davis,4,3,15,6,5,3,"October 29, 2003",231029003,1,Hornets,PG
--,1-4,2,0,2,6-13,3-4,37,D.  Wesley,0,3,16,2,4,1,"October 29, 2003",231029003,1,Hornets,SG
--,0-0,0,0,0,1-1,1-1,5,D.  West,2,1,3,2,0,0,"October 29, 2003",231029003,0,Hornets,PF
--,0-0,0,0,1,1-3,0-0,6,R.  Traylor,0,0,2,1,0,1,"October 29, 2003",231029003,0,Hornets,PF
