+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
-7,2-3,2,1,3,9-18,2-2,28,M.  Morris,1,2,22,4,2,0,"October 27, 2016",400899420,1,Wizards,PF
-5,0-0,1,0,4,5-7,0-1,26,O.  Porter J,2,2,10,6,2,0,"October 27, 2016",400899420,1,Wizards,SF
-14,0-0,1,1,8,2-6,0-0,32,M.  Gortat,3,4,4,11,1,3,"October 27, 2016",400899420,1,Wizards,C
-9,0-2,10,1,1,3-15,6-7,30,J.  Wall,2,2,12,3,4,5,"October 27, 2016",400899420,1,Wizards,PG
-16,0-2,4,0,0,6-12,1-1,24,B.  Beal,0,4,13,0,0,3,"October 27, 2016",400899420,1,Wizards,SG
+4,0-0,0,0,1,0-2,0-0,4,D.  Ochefu,0,0,0,1,0,0,"October 27, 2016",400899420,0,Wizards,PF
-7,0-0,2,0,4,1-2,0-0,9,J.  Smith,1,2,2,5,0,4,"October 27, 2016",400899420,0,Wizards,PF
-10,1-2,0,1,5,3-6,2-2,19,A.  Nicholson,2,1,9,7,1,1,"October 27, 2016",400899420,0,Wizards,PF
-10,1-4,1,0,1,1-6,2-4,22,K.  Oubre J,0,1,5,1,1,0,"October 27, 2016",400899420,0,Wizards,SF
-6,0-2,2,0,0,4-7,0-1,18,T.  Burke,0,0,8,0,1,2,"October 27, 2016",400899420,0,Wizards,PG
-3,1-3,1,0,1,2-8,0-0,20,M.  Thornton,0,2,5,1,0,1,"October 27, 2016",400899420,0,Wizards,SG
+4,0-0,1,0,0,1-1,0-0,4,T.  Satoransky,1,0,2,1,0,0,"October 27, 2016",400899420,0,Wizards,SG
+4,1-2,0,0,0,3-4,0-0,4,S.  Mac,0,0,7,0,2,0,"October 27, 2016",400899420,0,Wizards,SG
+22,3-6,6,1,5,11-20,3-4,31,P.  Millsap,2,0,28,7,0,2,"October 27, 2016",400899420,1,Hawks,PF
+5,0-0,2,3,12,4-9,3-4,30,D.  Howard,7,2,11,19,1,3,"October 27, 2016",400899420,1,Hawks,C
-1,2-4,2,0,2,6-12,0-0,25,D.  Schroder,0,3,14,2,1,4,"October 27, 2016",400899420,1,Hawks,PG
-4,1-3,4,0,3,2-4,0-0,22,K.  Korver,0,3,5,3,1,2,"October 27, 2016",400899420,1,Hawks,SG
-2,1-4,1,0,3,1-7,4-4,26,K.  Bazemore,0,4,7,3,1,4,"October 27, 2016",400899420,1,Hawks,SG
+2,1-2,1,3,3,3-6,2-2,26,M.  Muscala,1,2,9,4,2,0,"October 27, 2016",400899420,0,Hawks,PF
+1,0-0,0,0,3,0-1,0-0,9,K.  Humphries,0,0,0,3,0,1,"October 27, 2016",400899420,0,Hawks,PF
+1,0-0,0,0,1,1-1,0-0,2,D.  Bembry,0,0,2,1,0,0,"October 27, 2016",400899420,0,Hawks,SF
+23,3-5,1,0,1,8-13,2-2,23,T.  Hardaway J,1,0,21,2,0,0,"October 27, 2016",400899420,0,Hawks,SF
-4,0-0,1,0,0,0-0,0-0,4,T.  Prince,0,1,0,0,1,1,"October 27, 2016",400899420,0,Hawks,SF
+19,1-1,5,0,4,6-8,0-2,22,T.  Sefolosha,3,2,13,7,5,1,"October 27, 2016",400899420,0,Hawks,SF
+13,0-1,5,0,1,2-7,0-0,20,M.  Delaney,0,2,4,1,1,3,"October 27, 2016",400899420,0,Hawks,PG
,,,,,,,DNP-COACH'S DECISION,E.  Tavares,,,,,,,"October 27, 2016",400899420,0,Hawks,C
+20,0-2,4,0,4,6-14,5-6,27,P.  Millsap,0,3,17,4,1,2,"October 29, 2016",400899476,1,Hawks,PF
+15,0-0,1,3,4,1-4,0-0,19,D.  Howard,3,4,2,7,0,1,"October 29, 2016",400899476,1,Hawks,C
+12,0-1,11,0,3,4-7,3-4,28,D.  Schroder,0,0,11,3,1,2,"October 29, 2016",400899476,1,Hawks,PG
+13,3-4,3,0,2,6-8,0-0,24,K.  Korver,0,0,15,2,2,2,"October 29, 2016",400899476,1,Hawks,SG
+5,0-2,2,0,4,4-11,0-0,24,K.  Bazemore,0,1,8,4,1,3,"October 29, 2016",400899476,1,Hawks,SG
+10,0-1,2,2,4,7-8,0-0,21,M.  Muscala,1,3,14,5,1,0,"October 29, 2016",400899476,0,Hawks,PF
+13,0-1,1,2,9,1-6,1-2,22,K.  Humphries,1,1,3,10,2,2,"October 29, 2016",400899476,0,Hawks,PF
+8,0-1,0,0,1,1-3,0-0,6,D.  Bembry,1,0,2,2,0,0,"October 29, 2016",400899476,0,Hawks,SF
+13,1-6,1,0,3,3-11,0-1,19,T.  Hardaway J,0,0,7,3,1,0,"October 29, 2016",400899476,0,Hawks,SF
+6,0-1,1,0,0,1-2,2-2,6,T.  Prince,0,0,4,0,0,0,"October 29, 2016",400899476,0,Hawks,SF
+19,0-0,1,0,4,4-4,3-4,19,T.  Sefolosha,0,1,11,4,1,0,"October 29, 2016",400899476,0,Hawks,SF
+6,0-0,0,0,1,1-1,0-2,4,E.  Tavares,0,0,2,1,0,0,"October 29, 2016",400899476,0,Hawks,C
+20,1-1,4,0,2,3-6,1-2,20,M.  Delaney,0,1,8,2,1,0,"October 29, 2016",400899476,0,Hawks,PG
-17,1-3,2,0,4,2-9,0-0,26,D.  Saric,0,1,5,4,0,1,"October 29, 2016",400899476,1,76ers,PF
-18,0-5,1,0,1,0-5,0-0,23,R.  Covington,0,1,0,1,3,4,"October 29, 2016",400899476,1,76ers,SF
