+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
+13,1-4,2,1,4,4-11,0-0,29,P.  Patterson,3,0,9,7,2,3,"November 2, 2012",400277738,1,Rockets,PF
+1,1-6,6,0,3,2-9,1-2,31,C.  Parsons,2,2,6,5,3,3,"November 2, 2012",400277738,1,Rockets,SF
+15,0-0,1,1,10,0-7,0-0,35,O.  Asik,9,2,0,19,1,3,"November 2, 2012",400277738,1,Rockets,C
+17,2-4,2,0,6,14-19,15-17,40,J.  Harden,1,3,45,7,0,5,"November 2, 2012",400277738,1,Rockets,PG
+9,2-3,7,0,5,6-16,7-8,40,J.  Lin,5,2,21,10,0,3,"November 2, 2012",400277738,1,Rockets,PG
-6,1-6,0,0,3,8-14,0-0,19,M.  Morris,2,2,17,5,0,1,"November 2, 2012",400277738,0,Rockets,PF
-6,0-0,0,0,0,2-3,0-0,13,C.  Aldrich,1,3,4,1,0,0,"November 2, 2012",400277738,0,Rockets,C
-2,0-2,2,0,2,0-3,0-0,8,T.  Douglas,0,3,0,2,0,1,"November 2, 2012",400277738,0,Rockets,PG
-6,1-5,2,0,2,2-8,2-2,26,C.  Delfino,0,1,7,2,2,2,"November 2, 2012",400277738,0,Rockets,SG
,,,,,,,DNP-COACH'S DECISION,T.  Jones,,,,,,,"November 2, 2012",400277738,0,Rockets,PF
,,,,,,,DNP-COACH'S DECISION,R.  White,,,,,,,"November 2, 2012",400277738,0,Rockets,PF
,,,,,,,DNP-COACH'S DECISION,D.  Motiejunas,,,,,,,"November 2, 2012",400277738,0,Rockets,PF
,,,,,,,DNP-COACH'S DECISION,D.  Cook,,,,,,,"November 2, 2012",400277738,0,Rockets,SG
-7,0-1,2,3,9,9-21,0-0,42,J.  Smith,1,2,18,10,0,3,"November 2, 2012",400277738,1,Hawks,PF
-11,0-0,3,0,5,6-10,2-2,37,A.  Horford,0,1,14,5,1,2,"November 2, 2012",400277738,1,Hawks,PF
-5,1-5,2,0,2,4-10,0-0,22,D.  Harris,0,0,9,2,2,1,"November 2, 2012",400277738,1,Hawks,PG
-10,0-0,7,1,1,6-10,2-2,27,J.  Teague,0,4,14,1,2,4,"November 2, 2012",400277738,1,Hawks,PG
-6,0-2,2,0,2,0-3,0-0,15,K.  Korver,0,5,0,2,2,0,"November 2, 2012",400277738,1,Hawks,SG
+1,0-3,0,0,2,0-3,0-0,16,A.  Tolliver,0,2,0,2,0,0,"November 2, 2012",400277738,0,Hawks,PF
-3,0-0,1,0,3,4-5,5-6,22,Z.  Pachulia,5,4,13,8,0,0,"November 2, 2012",400277738,0,Hawks,C
+2,4-6,1,0,1,4-6,0-0,29,D.  Stevenson,1,6,12,2,2,0,"November 2, 2012",400277738,0,Hawks,SG
+4,2-5,5,0,4,7-17,6-7,31,L.  Williams,0,2,22,4,3,3,"November 2, 2012",400277738,0,Hawks,SG
,,,,,,,DNP-COACH'S DECISION,I.  Johnson,,,,,,,"November 2, 2012",400277738,0,Hawks,PF
,,,,,,,DNP-COACH'S DECISION,M.  Scott,,,,,,,"November 2, 2012",400277738,0,Hawks,PF
