+/-,3PT,AST,BLK,DREB,FG,FT,Min,Name,OREB,PF,PTS,REB,STL,TO,date,game_id,starter,team,Position
+17,1-4,4,0,5,6-19,5-6,37,M.  Morris,5,1,18,10,0,0,"October 27, 2015",400827888,1,Pistons,PF
+20,3-6,3,1,4,6-12,1-2,34,E.  Ilyasova,3,4,16,7,0,3,"October 27, 2015",400827888,1,Pistons,PF
+23,0-0,3,2,11,6-16,6-10,37,A.  Drummond,8,4,18,19,1,2,"October 27, 2015",400827888,1,Pistons,C
+26,2-4,5,0,7,4-10,5-5,32,R.  Jackson,1,0,15,8,2,2,"October 27, 2015",400827888,1,Pistons,PG
+17,4-7,1,0,3,7-14,3-3,37,K.  Caldwell-Pope,1,1,21,4,1,2,"October 27, 2015",400827888,1,Pistons,SG
-13,1-3,3,0,1,3-10,0-0,24,S.  Johnson,3,1,7,4,0,1,"October 27, 2015",400827888,0,Pistons,SF
-11,0-0,0,0,4,3-5,0-0,11,A.  Baynes,1,2,6,5,0,1,"October 27, 2015",400827888,0,Pistons,C
-14,1-5,4,0,0,1-6,0-0,16,S.  Blake,0,1,3,0,1,3,"October 27, 2015",400827888,0,Pistons,PG
-5,0-0,0,0,1,1-4,0-0,11,J.  Meeks,1,1,2,2,0,1,"October 27, 2015",400827888,0,Pistons,SG
,,,,,,,DNP-COACH'S DECISION,J.  Anthony,,,,,,,"October 27, 2015",400827888,0,Pistons,PF
,,,,,,,DNP-COACH'S DECISION,S.  Dinwiddie,,,,,,,"October 27, 2015",400827888,0,Pistons,PG
,,,,,,,DNP-COACH'S DECISION,R.  Bullock,,,,,,,"October 27, 2015",400827888,0,Pistons,SG
,,,,,,,DNP-COACH'S DECISION,D.  Hilliard,,,,,,,"October 27, 2015",400827888,0,Pistons,SG
-22,2-6,3,0,7,7-15,3-4,36,P.  Millsap,1,4,19,8,0,2,"October 27, 2015",400827888,1,Hawks,PF
-5,1-3,4,3,3,6-11,2-3,30,A.  Horford,1,1,15,4,2,1,"October 27, 2015",400827888,1,Hawks,PF
-23,1-3,4,0,2,7-16,3-4,32,J.  Teague,0,1,18,2,0,5,"October 27, 2015",400827888,1,Hawks,PG
-9,1-5,1,0,2,3-9,0-0,29,K.  Korver,0,4,7,2,1,1,"October 27, 2015",400827888,1,Hawks,SG
